locality_it,locality_printed,skeleton,circoscrizione_it,circoscrizione_kind,circoscrizione_ar,shabiya_ar,shabiya_en,shabiya_pcode,shabiya_matched_level,tav_xx_page,appendix_page,circoscrizione_printed,mahalla_id,mahalla_ar,match_rule
Bengasi,Bengasi,BNKSY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,241,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
Bu Scialàma,Bu Scialàma,BWXYLM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
"Uàdi Ben, Gauuàd","Ben, Gauuàd (Uàdi)",WDYBNKWD,en nofilia,residenza,النوفلية,سرت,Sirte,LY0208,mahalla,67,241,67 Residenza di en-NofiBa,,,no mahalla of that sound in the shabiya
Bùscibab,Bùscibab,BWXYB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Uàdi Ben Gebàra,Ben Gebàra (Uàdi),WDYBNGBR,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,241,"62 Residenza d,i Homs",,,no mahalla of that sound in the shabiya
Bu Sdèra,Bu Sdèra,BWSDR,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,241,"68 , Distretto di Aged,àbia",,,no mahalla of that sound in the shabiya
Ben Gehà,Ben Gehà,BNG,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,skeleton too short
Bu Sèdra,Bu Sèdra,BWSDR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Ben Habbas,Ben Habbas,BNHBS,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,241,"60 Resid,enza di Gariàn",,,no mahalla of that sound in the shabiya
Buslacà,Buslacà,BWSLK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,"63 Resid,enza di Tarhùn.a",,,no mahalla of that sound in the shabiya
Ben Hamàma,Ben Hamàma,BNHM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,"63 Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
"Bir Bu ,Snèna","Bu ,Snèna (Bir)",BYRBWSN,el azizia,distretto,العزيزية,الجفارة,Jafara,LY0212,baladiya,57,241,"57 Distretto d,i el-Azizìa",,,no mahalla of that sound in the shabiya
Bir Ben Hammàdi,Ben Hammàdi (Bir),BYRBNHMDY,el azizia,distretto,العزيزية,الجفارة,Jafara,LY0212,baladiya,57,241,57 Distretto di el-Azizia,,,no mahalla of that sound in the shabiya
Bu Tuìl,Bu Tuìl,BWTWYL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Bèni Bedr,Bèni Bedr,BNYBDR,hon,mudiria,هون,الجفرة,Jufra,LY0317,asserted,79,241,79 Mudirla di· Hon,,,no mahalla of that sound in the shabiya
Bu Zàhua,Bu Zàhua,BWZHW,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,241,79 Sottozona militare di el-GiM,,,no mahalla of that sound in the shabiya
Bèni Chlìfa (Terr. dei),Bèni Chlìfa(Terr. dei),BNYKLYFTRDY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,"59 Resid,enza di Gariàn",,,no mahalla of that sound in the shabiya
Bu Zeiàn,"Bu Zeiàn,",BWZYN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,59 Residenza di G;:triàn,Jabal al Gharbi-010,ابو زيان,skeleton and shabiya
Bèni Dàud (Terr. dei),Bèni Dàud (Terr. dei),BNYDWDTRDY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Bzèma,Bzèma,BZM,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,241,79 Sotto zona militare di el-Giòf,,,skeleton too short
Bèni Giarbùa,Bèni Giarbùa,BNYGRBW,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
el- Bèniha,Bèniha (el-),LBNY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,65,241,65 Residenza di Tarhùna',,,no mahalla of that sound in the shabiya
Bèni làhia,Bèni làhia,BNYLHY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,"59 Resid,enza di· Gariàn",,,no mahalla of that sound in the shabiya
Caàm,Caàm,KM,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,"59 Resid,enza di Gariàn",,,skeleton too short
Bèni Let,Bèni Let,BNYLT,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,241,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
Cabào,Cabào,KB,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,58,241,"58 Resid,enza di Nalùt",,,skeleton too short
Bèni Mìslem,Bèni Mìslem,BNYMYSLM,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,241,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
Suàni el- Cadìchi,Cadìchi (Suàni el-),SWNYLKDYKY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,241,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
Benìna,Benìna,BNYN,tocra,residenza,توكرة,المرج,Marj,LY0102,baladiya,70,241,70 Residenza di Tòcra,,,no mahalla of that sound in the shabiya
Camìnus,Camìnus,KMYNWS,soluch,residenza,سلوق,بنغازي,Benghazi,LY0103,baladiya,69,241,"69 Resid,enza di Solùch",,,no mahalla of that sound in the shabiya
Bèni Nser (Terr. dei),Bèni Nser (Terr. dei),BNYNSRTRDY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,"59 Resid,enza di Gariàn",,,no mahalla of that sound in the shabiya
Cammùn,Cammùn,KMWN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,59. Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Bèni Nuèzi,Bèni Nuèzi,BNYNWZY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Campo Rosso,Campo Rosso,KMBRS,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,73,241,73 Distretto di. Derna,,,no mahalla of that sound in the shabiya
Bèni UBd,Bèni UBd,BNYWBD,beni ulid,residenza,بني وليد,مصراته,Misrata,LY0214,asserted,66,241,"66 Resid,enza di Bèni UUd",,,no mahalla of that sound in the shabiya
Bir el- Carma,Carma (Bir el-),BYRLKRM,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,241,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Bèni UZÌr,Bèni UZÌr,BNYWZYR,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
el- Carramìa,Carramìa (el-),LKRMY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Bèni Zàrga,Bèni Zàrga,BNYZRK,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,70,241,70 Distretto di Bèda Littòria,,,no mahalla of that sound in the shabiya
Casa Omràn,Casa Omràn,KSMRN,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,241,"69 Resid,enza di Bengasi",,,no mahalla of that sound in the shabiya
Ben Mahanna,Ben Mahanna,BNMHN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,"59 Resid,enza di Gariàn",,,no mahalla of that sound in the shabiya
Casa Sciagaàbi,Casa Sciagaàbi,KSXYKBY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,241,69· Residenza di Bengasi,,,no mahalla of that sound in the shabiya
Ben Nur (Stdi),Ben Nur (Stdi),BNWRSTDY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Caserma Turca,Caserma Turca,KSRMTWRK,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,241,"68 Distretto di Aged,àbia",,,no mahalla of that sound in the shabiya
Ben Sacràua,Ben Sacràua,BNSKRW,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,'64 Residenza di TarhùÌla,,,no mahalla of that sound in the shabiya
Bir Cazàh,Cazàh (Bir),BYRKZ,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,"64 Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
Ben Saedàn,Ben Saedàn,BNSDN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,"'64 ' Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
el- Cazàna,Cazàna (el-),LKZN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Ben Sehàl,Ben Sehàl,BNSHL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Ras Chabàsc,Chabàsc (Ras),RXHBX,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Bèrghin,Bèrghin,BRKYN,berghin,mudiria,برقن,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,241,75 Mudirla di Bèrghin,Wadi al Shatii-016,برقن,semivowels dropped
Chabbàsc,Chabbàsc,KBX,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,skeleton too short
Bèrsis,Bèrsis,BRSYS,tocra,residenza,توكرة,المرج,Marj,LY0102,baladiya,70,241,70 Residenza di Tòcra,,,no mahalla of that sound in the shabiya
el- Chabùl Bu Dèia,Chabùl Bu Dèia (el-),LKBWLBWDY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Bertèlles,Bertèlles,BRTLS,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,72,241,"72 Distretto d,i Apollònia",,,no mahalla of that sound in the shabiya
el- Chàdra,Chàdra (el-),LKDR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Bèscér,Bèscér (el-),LBXR,el agheila,distretto,العقيلة,الواحات,Al Wahat,LY0105,mahalla,68,241,68 Distretto di el-Aghèila,,,no mahalla of that sound in the shabiya
Chalfùn,Chalfùn,KLFWN,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,241,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
Betelèha,Betelèha,BTL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,skeleton too short
Sìdi Chàlifa,Chàlifa (Sìdi),SYDYKLYF,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,241,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
el- Bètha,Bètha (el-),LBT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,"64 Resid,enza di Tarhùna",,,skeleton too short
Chanàfes,Chanàfes,KNFS,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,241,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Bghighìla,Bghighìla,BKYKYL,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,241,59 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
el- Charàigh,Charàigh (el-),LKRYK,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,241,"77 Mudirla d,i Uàdi el-Agiàl,",,,no mahalla of that sound in the shabiya
Bilgarà,Bilgarà,BYLKR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,"64' Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
el- Charrùba,Charrùba (el-),LKRWB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Bnèiet Bàtt.a,Bnèiet Bàtt.a,BNYTBT,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,241,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
el- Chatàtba,Chatàtba (el-),LKTB,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,241,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
el- Bògga,Bògga (el-),LBK,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,241,"65 Circond,ario di ZIiten",,,skeleton too short
el- Chàtra esc-Sciaa1ì1,Chàtra esc-Sciaa1ì1 (el-),LKTRXY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,241,60 Residenza di Gariàn.,,,no mahalla of that sound in the shabiya
Bòrgu,Bòrgu,BRKW,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,241,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Chaulàn,Chaulàn,KWLN,giovanni berta,distretto,القبة,درنة,Derna,LY0101,baladiya,73,241,73 Distretto di Giovanni Berta,,,no mahalla of that sound in the shabiya
Brach,Brach,BRK,brach,mudiria,براك,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,241,75 Mudirla di Brach,,,skeleton too short
Uàdi el- Chazàn,Chazàn (Uàdi el-),WDYLKZN,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,241,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
"Bracsàd,a","Bracsàd,a",BRKSD,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,73,241,73 Distretto di Derna,,,no mahalla of that sound in the shabiya
el- Chèlba,Chèlba (el-),LKLB,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,71,241,71 Distretto di Bèda Littòria,,,no mahalla of that sound in the shabiya
el- Brascìsc,Brascìsc (el-),LBRXYX,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,241,59 Residenza di Gariàri:,,,no mahalla of that sound in the shabiya
el- Chèrba,Chèrba (el-),LKRB,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,241,61 Distretto di Giàdò,,,no mahalla of that sound in the shabiya
Brech,Brech,BRK,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,241,77 Mudirla di Uàdi el-Agià.l,,,skeleton too short
Bir el- Cherdimln,Cherdimln(Bir el-),BYRLKRDYMLN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,241,60 Residenza di Garlàn,,,no mahalla of that sound in the shabiya
Màrsa el- Brèga,Brèga (Màrsa el-),MRSLBRK,el agheila,distretto,العقيلة,الواحات,Al Wahat,LY0105,mahalla,68,241,68 Distretto di el-Aghèila,,,no mahalla of that sound in the shabiya
el- Cheririb,Cheririb (el- ),LKRYRYB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Brèga Melelli,Brèga Melelli,BRKMLY,el agheila,distretto,العقيلة,الواحات,Al Wahat,LY0105,mahalla,68,241,68 Distretto di el-Aghèila,,,no mahalla of that sound in the shabiya
Chèrsa,Chèrsa,KRS,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,73,241,"73 Distretto d,i Derna",,,skeleton too short
Brur,Brur,BRWR,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,71,241,"71 Distretto di Bèd,a Littòria",,,no mahalla of that sound in the shabiya
Chersàn,Chersàn,KRSN,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,241,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Sidi e1- Bsìr,Bsìr (Sidi e1-),SYDYBSYR,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,241,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
el- Chèrua,Chèrua (el-),LKRW,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,241,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
Bu Amùd,Bu Amùd,BWMWD,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,241,68 Distretto di Agedàbia,,,no mahalla of that sound in the shabiya
el- Chèrua,Chèrua (el-),LKRW,castel benito,distretto,بن غشير,طرابلس,Tripoli,LY0211,asserted,58,241,58 Distretto di Castel Benito,,,no mahalla of that sound in the shabiya
Bu Àtni,Bu Àtni,BWTNY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,,241,6g Residenza di Bengasi,Benghazi-024,بو عطني,skeleton and shabiya
Gasr el- Chiàr,Chiàr (Gasr el-),KSRLKYR,hon,residenza,هون,الجفرة,Jufra,LY0317,asserted,62,241,62 Residenza di Honis,,,no mahalla of that sound in the shabiya
Sìdi Bu Àzza,Bu Àzza (Sìdi),SYDYBWZ,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,241,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
Chìc1a,Chìc1a,KYK,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,241,"60 Resid,enza di Gariàn",,,skeleton too short
Ras Sidi Bubàcher,Bubàcher(Ras Sidi),RSYDYBWBKR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,65,241,65 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Chlèb,Chlèb,KLB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,skeleton too short
Bu Basla,Bu Basla,BWBSL,zuara,distretto,زوارة,النقاط الخمس,Nuqat al Khams,LY0215,baladiya,55,241,55 Distretto di Zuàra,,,no mahalla of that sound in the shabiya
Chlef,Chlef,KLF,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,241,77 Mudirla di Uàdi el-Agiàl,,,skeleton too short
Bu Benia' es-Scèchia,Bu Benia' es-Scèchia,BWBNYSXKY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Chrèiba,Chrèiba (el-),LKRYB,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,241,"72 Distretto d,i Cirene",,,no mahalla of that sound in the shabiya
Bu Chreimìsa,Bu Chreimìsa,BWKRYMYS,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,241,71 Distretto di GèrdesGern\ri,,,no shabiya
Chriziln,Chriziln,KRYZYLN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,"64 Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
Bu Chrèiza,Bu Chrèiza,BWKRYZ,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,241,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Chsèba,Chsèba,KSB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,63 Residenza di Tarhùna,,,skeleton too short
Bu Dàbaa,Bu Dàbaa,BWDB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,241,"63 Resid,enza di Tarhùna",,,no mahalla of that sound in the shabiya
Chuèbia,Chuèbia,KWBY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,,241,6g Residenza di Bengasi,,,no mahalla of that sound in the shabiya
el- Bueràt,Bueràt (el-),LBWRT,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,241,71 Distretto di Gèrdes Gerràri,,,no shabiya
el- Chzur,Chzur (el-),LKZWR,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,241,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Bueràt el-Hsun,Bueràt el-Hsun,BWRTLHSWN,sirte,residenza,سرت,سرت,Sirte,LY0208,shabiya,67,241,67 Residenza di Sirte,,,no mahalla of that sound in the shabiya
Cirene,Cirene,KYRN,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,241,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Bu Féttah,Bu Féttah,BWFT,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,241,68 Dlstretto di Agedàbia,,,no mahalla of that sound in the shabiya
Bir el- Clab,Clab (Bir el-),BYRLKLB,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,241,61 Distretto di Mìzda,,,no mahalla of that sound in the shabiya
Bri Gedid,Bri Gedid,BRYGDYD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,241,64 Résidenza di Tàrhùna,,,no mahalla of that sound in the shabiya
el- Clàifa,Clàifa (el-),LKLYF,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,241,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Bu Gerida,Bu Gerida,BWGRYD,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,241,65 Circondario di Zlìten',Misrata-041,ابوجريدة,skeleton and shabiya
el- Cmesciàt,Cmesciàt (el-),LKMXYT,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,241,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
el- Fgeg,Fgeg (el-),LFGK,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,242,77 Mudiria di Uàdi el-AgiàL,,,no mahalla of that sound in the shabiya
Cobràra,Cobràra,KBR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,skeleton too short
el- Fiàsla,Fiàsla (el-),LFYSL,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,242,61 Distretto di Giàelo,,,no mahalla of that sound in the shabiya
el- Coèfì.a,Coèfì.a (el-),LKFY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,,242,6g Residenza di Bengasi,,,no mahalla of that sound in the shabiya
el- Fogàa,Fogàa (el-),LFK,zliten,,زليتن,مصراته,Misrata,LY0214,asserted,65,242,65 Circonelario di ZIiten,,,skeleton too short
el- Com Belgira,Com Belgira (el-),LKMBLGR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64' Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Fògaha,Fògaha (el-),LFK,zella,mudiria,زلة,الجفرة,Jufra,LY0317,asserted,79,242,79 Mudirla di Zèlla,,,skeleton too short
Com el-Lèged,Com el-Lèged,KMLGD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza eli Tarhùna,,,no mahalla of that sound in the shabiya
el- Fògha,Fògha (el-),LFK,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,242,59 Residenza di Gariàn,,,skeleton too short
el- Corom,Corom (el-),LKRM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Fom Dràghen,Fom Dràghen,FMDRKN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el~ Corratìa,Corratìa (el~),LKRTY,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,242,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
Fom el-Uàdi,Fom el-Uàdi,FMLWDY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
el- Còtra,Còtra (el-),LKTR,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,242,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Fomm Digàu,Fomm Digàu,FMDYKW,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,242,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Crèsc,Crèsc,KRX,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,"64 ,"" Residenza di Tarhùna",,,skeleton too short
Fom Taribbe,Fom Taribbe,FMTRYB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Cririb,Cririb,KRYRYB,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,242,64 Residenza eli Tarhùna,,,no mahalla of that sound in the shabiya
Fòndugh,Fòndugh,FNDWK,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,242,"62 Residenza di Homs,",,,no mahalla of that sound in the shabiya
el- Cròma,Cròma (el-),LKRM,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,242,61 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Fòngul,Fòngul,FNKWL,traghen,mudiria,تراغن,مرزق,Murzuq,LY0322,asserted,78,242,"78 Mùd,irla di Tràghen",,,no mahalla of that sound in the shabiya
Bir Cuca,Cuca (Bir),BYRKWK,el azizia,distretto,العزيزية,الجفارة,Jafara,LY0212,baladiya,57,242,57 Distretto di el-Azizìa,,,no mahalla of that sound in the shabiya
Fornaci,Fornaci,FRNKY,sugh el giumaa,residenza,سوق الجمعة,طرابلس,Tripoli,LY0211,baladiya,57,242,57 Residenza di Sugh elcGiùmaa,,,no mahalla of that sound in the shabiya
Uàdiel- Cuf,Cuf (Uàdiel-),WDYLKWF,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,71,242,71 Distretto di Bèc\a Littòria,,,no mahalla of that sound in the shabiya
Sìdi Frag,Frag (Sìdi),SYDYFRK,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,68,242,68 Distretto di Agedàbia,,,no mahalla of that sound in the shabiya
Cùfra,Cùfra,KWFR,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,242,79 Sotto zona militare di el-Giòf,,,no mahalla of that sound in the shabiya
