pdf_page,printed_page,block,label,row_kind,dwelling,famiglie,present_mf,present_f,absent_mf,is_consistent,locality_it,circoscrizione_it,shabiya_en,shabiya_pcode,label_printed
128,61,1,Gontràr alta st,locality,st,81,334,166,,1,,,,,Gontràr alta st.
128,61,1,--,locality,n,4,21,11,,1,,,,,n. --
128,61,1,GRUPPO EZ-ZINTÀN (I) et-Thiàr -,locality,st,33,1421,70,,1,ez- Zintàn,iefren,Jabal al Gharbi,LY0216,GRUPPO EZ-ZINTÀN: (I) et-Thiàr st. -
128,61,1,an. -,locality,,18,,38,,0,,,,,an. -
128,61,1,(I) ÀLTRI CENSITI. st,quarter,st,150,596,257,1,1,,,,,(I) ÀLTRI CENSITI. st.
128,61,1,,locality,,,75,,,1,,,,,
128,61,1,TERRITORIO DI EN-NÈSMA • ff17,subtotal,,,3017,1433,17,1,,,,,TERRITORIO DI EN-NÈSMA • ff17
128,61,1,,locality,,,1,,,1,,,,,
128,61,1,GRUPPO I ULÀD BU .SEF I -,locality,,3,7,,,1,,,,,GRUPPO I ULÀD BU .SEF : :I -
128,61,1,"Zettàr, Bunùcta • Ulàd Sidi Ahmèd. s!",locality,,112,510,252,4,1,Bunùcta,mizda,Jabal al Gharbi,LY0216,"Zettàr, Bunùcta • Ulàd Sidi Ahmèd. s!:"
128,61,1,53 Uàdi ZemZem Ulàd Sidi Belgàsse m i,locality,n,74,353,157,,1,Uàdi Zem Zem,mizda,Jabal al Gharbi,LY0216,53 Uàdi ZemZem Ulàd Sidi Belgàsse:m n. i .:..
128,61,1,Ulàd Sidi Mehèm- med. . n,locality,n,82,278,139,,1,,,,,Ulàd Sidi Mehèm- med. . n.
128,61,1,Ruès et-Tàbel • Accàra ( l ) . 3 -,locality,n,25,106,41,,1,Rùes et-Tàbel,mizda,Jabal al Gharbi,LY0216,Ruès et-Tàbel • Accàra ( l ) . n. 3 -
128,61,1,el-Hadàdda (l) n,locality,n,15,70,27,,1,,,,,el-Hadàdda (l) n.
128,61,1,et-Tuabin (l) n,locality,n,37,197,95,,1,,,,,et-Tuabin (l) n.
128,61,1,el-Masalchia. n,locality,n,30,126,64,,1,,,,,el-Masalchia. n.
128,61,1,el-Mòtra (l) • n,locality,n,23,88,37,,1,,,,,el-Mòtra (l) • n.
128,61,1,(I) el-Gabàbna (l) .~,locality,n,18,76,38,,1,,,,,(I) el-Gabàbna (l) n. .~
128,61,1,et-Titn'. . . . n,locality,n,27,132,75,,1,,,,,et-Titn'. . . . n.
128,61,1,el-Arabàia (l) • n,locality,n,5,24,11,,1,,,,,el-Arabàia (l) • n.
128,61,1,Abiàd er-Rcheb . . n,locality,n,22,89,41,,1,,,,,Abiàd er-Rcheb . . n.
128,61,1,20 Dhar Bu Madi Ulàd Bu en-Niràn. J,locality,n,24,100,54,,1,Dhar Bu Madi,mizda,Jabal al Gharbi,LY0216,20 Dhar Bu Madi Ulàd Bu en-Niràn. n. J
128,61,1,Bir Drèder . Ulàd Sidi Nbèia. n,locality,n,14,58,28,,1,Bir Drèder,mizda,Jabal al Gharbi,LY0216,Bir Drèder . Ulàd Sidi Nbèia. n.
128,61,1,Uàdi Nàmes Ulàd Sidi Abdulafld I,locality,n,14,50,25,,1,,,,,Uàdi Nàmes Ulàd Sidi Abdulafld n. I
128,61,1,Uàdi Frùten Ulàd Sldi Abdurra- n~. I,locality,,,88,42,,1,Uàdi Frùten,mizda,Jabal al Gharbi,LY0216,Uàdi Frùten Ulàd Sldi Abdurra- n~.: I
128,61,1,4 Bir el-Clab el-Auàta (l) • màn . 1~~1,locality,,,654,299,,1,Bir el- Clab,mizda,Jabal al Gharbi,LY0216,4 Bir el-Clab el-Auàta (l) • màn . 1~~1
128,61,1,lO Uàdi Màrsit. Sahadlia (l) • ~,locality,,,11,5,,1,,,,,lO Uàdi Màrsit. Sahadlia (l) • ~
129,62,0,I--------~l~-------I ---------2-------- o,locality,,,,,,0,,,,,I--------~l~-------I ---------2-------- o
129,62,0,,locality,,605,3095,,,1,,,,,
129,62,0,TERRITORIO DI SUÀNI FESSÀNO I GRUPPO ÉL-MASCIÀSCIA (b) I,subtotal,n,146,,336,,0,,,,,TERRITORIO DI SUÀNI FESSÀNO I GRUPPO ÉL-MASCIÀSCIA: (b) n. I
129,62,0,"es-Suegàt. . . . . . es-Suegàt . I Sceghèga, Tescia . . Ulàd Ataiàlla . n",locality,n,260,1425,679,,1,,,,,"es-Suegàt. . . . . . es-Suegàt . I Sceghèga, Tescia . . Ulàd Ataiàlla . n."
129,62,0,,locality,,,689,,,1,,,,,
129,62,0,"el-Auenia, Uàdi Mar- mùta . . . . . . . el-Hesàt n",locality,n,103,478,236,,1,,,,,"el-Auenia, Uàdi Mar- mùta . . . . . . . el-Hesàt n."
129,62,0,I,locality,,,1,,,1,,,,,I
129,62,0,"Bir el-Hmèira, Bir el- Gedida . . . . . . el-Benadghia n",locality,n,96,5031,222,,1,,,,,"Bir el-Hmèira, Bir el- Gedida . . . . . . el-Benadghia n."
129,62,0,I Dist~etto di el-Ghèria eBc-Scerghla,locality,,281,1955,887,,1,,,,,I Dist~etto di el-Ghèria eBc-Scerghla
129,62,0,TERRITORIO DI EL-GHÈRIA ESC-SCERGHìA,subtotal,,281,1955,887,,1,,,,,TERRITORIO DI EL-GHÈRIA ESC-SCERGHìA
129,62,0,GRUPPO EZ ZINTÀN RAMO ULÀD BELHÒL Ulàd . Belhòl. st,subtotal,st,23,1,72,1,0,,,,,GRUPPO EZ ZINTÀN: RAMO ULÀD BELHÒL: Ulàd . Belhòl. st.
129,62,0,el-Gèrua . sn 2f>O,locality,,55,534,,16,1,,,,,el-Gèrua . sn 2f>O
129,62,0,r st,locality,,12,1,26,,0,,,,,r st
129,62,0,el·Guàsem g H l,locality,,,99,,,1,,,,,el·Guàsem g H l
129,62,0,1 sn I el-Ganàni,locality,,33,230,106,8,1,,,,,'1 sn I el-Ganàni .
129,62,0,ll t l,locality,,1,2,1,,1,,,,,'ll :t l
129,62,0,esc-Sceiàb. . sn ],locality,,15,107,46,,1,,,,,esc-Sceiàb. . sn ]
129,62,0,(I) n· lO,locality,,2,,3,,0,,,,,(I) n· lO
129,62,0,,locality,,,,,,0,,,,,
129,62,0,RAMO ULAD DufB Ulàd Duib 1,subtotal,sn,44,245,109,,1,,,,,RAMO ULAD DufB: Ulàd Duib sn. 1
129,62,0,el-Amiàn ~II,locality,sn,,54,25,,1,,,,,el-Amiàn sn. ~II
129,62,0,Ulàd ìsa 9 si,locality,sn,,39,24,,1,,,,,Ulàd ìsa Sn. 9 si
129,62,0,GRUPPO I ULÀD BU SEF _II,locality,,,50,24,,1,,,,,GRUPPO I ULÀD BU SEF: _II
129,62,0,el-Auàta (c). CAB MARABUTICHE '1 Oasi di el-Ghèria el Garbia . Urènza el-Garbia,locality,sn,,,,41,0,,,,,el-Auàta (c). sn. CAB; MARABUTICHE: '1 Oasi di el-Ghèria el Garbia . Urènza el-Garbia
129,62,0,i,locality,,1,,,,0,,,,,i
129,62,0,Oasi di el-Ghèria esc Urènza esc_SCerghi~i Ss tt I 8 1 7 Scerghia 0 2s,locality,,,4,,,1,,,,,Oasi di el-Ghèria esc Urènza esc_SCerghi~i :Ss :tt .. : I :8:1 ::7 Scerghia : 0 : 2s
129,62,0,"(I) ALTRI CENSITI. I 52 5J203.92~ 100.210 PROVINCIA DI MISURATA cmCONDARIO DI HOMS "" . , 1 143.218 Residenza di Homs 8 699134 871 17.143",quarter,,,,,6671,0,,,,,"(I) ALTRI CENSITI. I 52 5J203.92~ 100.210 PROVINCIA DI MISURATA cmCONDARIO DI HOMS "" . , .. 1 ...... 143.218 Residenza di Homs 8 699134 871 17.143"
129,62,0,HOMa,locality,,814,3698,1679,,1,,,,,HOMa
129,62,0,"Censo 1931 (*) 4722,0941.068 I QUARTIERI Beladia. st",census_1931,st,160,631,320,11,1,,,,,"Censo 1931 (*) 4722,0941.068 I QUARTIERI: Beladia. st."
129,62,0,Sidi Ben Gehè I,locality,st,183,718,362,,1,,,,,Sidi Ben Gehè st. I
129,62,0,_ 1.61,locality,st,,741,370,,1,,,,,_ st. 1.61
129,62,0,"I ISRAELITI. , ALTRI CENSITI. st",quarter,st,310,1608,627,,1,,,,,"I ISRAELITI. , ALTRI CENSITI. st."
129,62,0,TERRITORIO DI ScrOGRÀN (Homs),subtotal,,2005,7531,3783,,1,,,,,TERRITORIO DI ScrOGRÀN (Homs).. . .
129,62,0,Censo 1931 (*) 1~111,census_1931,,1367,6741,3112,,1,,,,,Censo 1931 (*) 1~111
129,62,0,Uàdi Giabrùn . es-Siliin. . . . . . st,locality,st,775,2947,1455,,1,,,,,Uàdi Giabrùn . es-Siliin. . . . . . st.
129,62,0,"Sciuàiegh . el-Homs (e!·Choms) -~~,I",locality,st,416,1512,757,,1,,,,,"Sciuàiegh . el-Homs (e!·Choms) st. -~~,I'"
129,62,0,Ummel-Gidàri es-Snanàt . st,locality,,47,160,84,,1,Umm el-Gidàri,homs,Murqub,LY0210,Ummel-Gidàri es-Snanàt . st:
129,62,0,CAB. MARABUTICHE Umm el-Gidàri el-Gehauàt st·1,census_1931,,449,,822,,0,,,,,CAB. MARABUTICHE: Umm el-Gidàri el-Gehauàt st·1
129,62,0,"Uàdi Isciùna, 'u~di Lebda ez-Zuàid el-Argùb st",locality,st,316,,665,,0,,,,,"Uàdi Isciùna, 'u~di Lebda ez-Zuàid el-Argùb st."
129,62,0,III,locality,,21,,,,0,,,,,III
129,62,1,l ___ --'-_____ cc2 ____ -i- 3-t---. 4=_. 6 ____ 7 __,locality,,5,,,,0,,,,,l ___ --'-_____ cc2 ____ -i-..::..3-t---.:4=_. 6 ____ 7 __
129,62,1,1 1 ---11·- TERRITORIO DI GASR EL·CHtAR. 1. 9051 8 4261,subtotal,,,4138,141,,1,,,,,1 1:---11·- TERRITORIO DI GASR EL·CHtAR. 1. 9051 8 .. 4261
129,62,1,(Gasr Gelàra Gmàta) Censo 1931 (*),census_1931,,,3172,,,1,,,,,(Gasr Gelàra: Gmàta) Censo 1931 (*)
129,62,1,· I RAMO GMÀTA = UMi ben Gebàra . i ~,subtotal,,,913,12,,1,,,,,· I RAMO GMÀTA: = UMi ben Gebàra . i :~:
129,62,1,el-Amàrna (a) • 3~~ 1.8~~,locality,,,25,,,1,,,,,el-Amàrna (a) • 3~~ 1.8~~
129,62,1,,locality,,,1357,,,1,,,,,
129,62,1,Bir Unt . . . . er-Rehabàt (6) 2. 6641,locality,st,,,39,,0,Bir Unt,homs,Murqub,LY0210,Bir Unt . . . . er-Rehabàt (6) st. 2. 6641
129,62,1,GRUPPO EL-HAUÀTEM RAMO EL-MARÀGlINA I (I) Maràghna et-Tina st,subtotal,st,,183,4,,1,,,,,GRUPPO EL-HAUÀTEM: RAMO EL-MARÀGlINA: I (I) Maràghna et-Tina st.
129,62,1,CAB. MARABUTICHE Uàdi er·Rodàt el-Amariin st,census_1931,st,,213,6,,1,,,,,CAB. MARABUTICHE: Uàdi er·Rodàt el-Amariin st.
129,62,1,Uàdi Gherrim . . . Ulàd Mràbet et,locality,,,236,29,,1,,,,,Uàdi Gherrim . . . Ulàd Mràbet et.
129,62,1,"50 UMi Sidi abd el-AMi, Fòndugh, en·Nag gàza UlM Sidi Abd el- AMi st",locality,st,,207,17,,1,Fòndugh,homs,Murqub,LY0210,"50 UMi Sidi abd el-AMi, Fòndugh, en·Nag gàza UlM Sidi Abd el- AMi st."
129,62,1,Fegèg er~ R uascedia st,locality,st,,91,3,,1,,,,,Fegèg er~ R uascedia st .
129,62,1,"CAB. VARIE 2 UMi Tùrgut, UMi Mèitel Arbia el-Adù1 (d) st",census_1931,st,,542,24,,1,,,,,"CAB. VARIE: 2 UMi Tùrgut, UMi Mèitel Arbia el-Adù1 (d) st."
129,62,1,el·Mràda 278.1,locality,st,1,371,7,,1,,,,,el·Mràda st. 278.1 .
129,62,1,et-Tèlla. (I) ALTRI CENSITI. -,quarter,st,,,,,0,,,,,et-Tèlla. (I) ALTRI CENSITI. st. -
129,62,1,TERRITORIO DI SUGH EL-CHMIS i.9751' 15.216,subtotal,,,7543,347,,1,,,,,TERRITORIO DI SUGH EL-CHMIS i.9751' 15.216
129,62,1,(es-Sàhel'el Ahàmea) Censo 1931 (*),census_1931,,,6940,,,1,,,,,(es-Sàhel'el Ahàmea) Censo 1931 (*)
129,62,1,"GRUPPO EL-HAUÀ'l'EM I RAMO EL-MARÀGHNA Il UMi Gugàs, Umm er- \ Maràghna el-Aghib . ]",subtotal,st,,251,,,1,,,,,"GRUPPO EL-HAUÀ'l'EM : I RAMO EL-MARÀGHNA: Il UMi Gugàs, Umm er- \ Maràghna el-Aghib . st. ]"
129,62,1,"Maràghna el - Ha ~ ""'''"". ""O· / besàt. . . . . . st",locality,st,,356,8,,1,,,,,"Maràghna el - Ha ~;:;; ""'''"". ""O· / besàt. . . . . . st."
129,62,1,Maràghna es - Suà- 1em . . . . . . st,locality,st,,219,7,,1,,,,,Maràghna es - Suà- 1em . . . . . . st.
129,62,1,Maràghna et - Tuà leb. st,locality,st,,204,4,,1,,,,,Maràghna et - Tuà leb. st.
129,62,1,,locality,,,,,,0,,,,,
129,62,1,CAB. MARABUTICHE ez·Zuàid Ben Dar. H71,census_1931,st,,838,35,,1,,,,,CAB. MARABUTICHE: ez·Zuàid Ben Dar. st. H71
129,62,1,_81 Sidi es-Saiàh st,locality,st,,244,4,,1,Sìdi es- Saiàh,,,,_81 Sidi es-Saiàh st.
129,62,1,"Uàdi es-Saiàh . . . . el·Hadàdra Sugh el-Chmis, Sciàa bet Umbàrech, Sidi Ahmèded-Dràgh. ed-Drùga. 10fi",locality,st,,188,7,,1,,,,,"Uàdi es-Saiàh . . . . el·Hadàdra Sugh el-Chmis, Sciàa bet Umbàrech, Sidi Ahmèded-Dràgh. ed-Drùga. st. 10fi"
129,62,1,el-Gàa . . . . . . esc·Sciacàtra st,locality,st,,204,10,,1,,,,,el-Gàa . . . . . . esc·Sciacàtra st.
129,62,1,U.10~ Sidi Bu Àzza . U1àd Bu Àzza st,locality,st,,184,7,,1,Sìdi Bu Àzza,homs,Murqub,LY0210,U.10~ Sidi Bu Àzza . U1àd Bu Àzza st.
129,62,1,CAB. DI COLOGHLI 3.035 Sugh el-Chmis. el-Cologhlia . 70],census_1931,st,,,33,,0,,,,,CAB. DI COLOGHLI : 3.035 Sugh el-Chmis. el-Cologhlia . st. 70]
129,62,1,,locality,,,,,,0,,,,,
129,62,1,CAB. VARIE el-Oràn . st,census_1931,st,,254,13,,1,,,,,CAB. VARIE: el-Oràn . st.
129,62,1,iN UlM Gemia. st,locality,st,,260,9,,1,,,,,iN UlM Gemia. st.
129,62,1,Sugh el·Chmis. . . . el·Ahàmed l.ml,locality,st,,631,52,,1,Sugh el-Chmis,homs,Murqub,LY0210,Sugh el·Chmis. . . . el·Ahàmed st. l.ml
129,62,1,171 Uàdi Sugh e1-Chmis . e1-Hasnùn st,locality,st,,668,38,,1,,,,,171 Uàdi Sugh e1-Chmis . e1-Hasnùn st.
129,62,1,el·Ha=àm. . . . . esc·Sciòrfa (1). . st,locality,st,,295,5,,1,,,,,", el·Ha=àm. . . . . esc·Sciòrfa (1). . st."
129,62,1,Sidi Amòr Ben-Otmàn UlM Sidi Otmàn. st,locality,st,,376,11,,1,Sìdi AmòrBen-Otmàn,homs,Murqub,LY0210,Sidi Amòr Ben-Otmàn UlM Sidi Otmàn. st.
129,62,1,I Sidi Amòr esc-Sciaàref Ulàd esc·Sciaàref. (J,locality,st,,190,,,1,Sìdi Amòr esc-Sciaàref,homs,Murqub,LY0210,I Sidi Amòr esc-Sciaàref Ulàd esc·Sciaàref. st. (J
129,62,1,II Sidi Mugibèr ' . . . Ulàd Hammàm . st,locality,st,,261,18,,1,Sìdi Mugibèr,homs,Murqub,LY0210,II Sidi Mugibèr ' . . . Ulàd Hammàm . st.
129,62,1,Sidi Ali el-Fergiàni. Ulàd el-Fergiàni . st,locality,st,,86,6,,1,Sìdi Alì el~Fergiàni,homs,Murqub,LY0210,Sidi Ali el-Fergiàni. Ulàd el-Fergiàni . st.
129,62,1,6 Giàma el-Atrusia. . Ulàd Nemè. 1.'/37,locality,st,,899,60,,1,Giàma el-Atrusìa,,,,6 Giàma el-Atrusia. . Ulàd Nemè. st. 1.'/37
129,62,1,UMi Gaugàu . . . e1-Gebalia . 1~8,locality,st,,234,9,,1,,,,,UMi Gaugàu . . . e1-Gebalia . st. 1~8
129,62,1,,locality,,,,,,0,,,,,
129,62,1,(I) ALTRI CENSITI. st,quarter,st,,,,,0,,,,,(I) ALTRI CENSITI. st.
129,62,1,Residenza di el-Gusbàt 3.421 14.842,subtotal,,,7350,991,,1,,,,,Residenza di el-Gusbàt 3.421 14.842
129,62,1,,locality,,,5414,609,,1,,,,,
129,62,1,TERRITORIO DI MSELLÀTA 2.129110.824 Cens. 1931 (*),census_1931,,,4764,,,1,,,,,TERRITORIO DI MSELLÀTA 2.129110.824 Cens. 1931 (*)
129,62,1,Sciàra ez-Zùrga. st,locality,st,,72,5,,1,,,,,Sciàra ez-Zùrga. st.
129,62,1,UlM Hàmed (1). 2?7,locality,st,,,26,,0,,,,,UlM Hàmed (1). st. 2?7
129,62,1,es-Suadnia DIlI·,locality,st,,137,12,,1,,,,,es-Suadnia st. DIlI·
129,62,1,11 el-Gusbàt . el-Giaàrin (1) st,locality,st,,307,37,,1,el- Gusbàt,el gusbat,Murqub,LY0210,"::11 el-Gusbàt . el-Giaàrin (1) st.,"
129,62,1,Buaisc st,locality,st,,116,1,,1,,,,,Buaisc st.
130,63,0,I Segue TERRITORIO DI MSELLÀTA OAB. DI OOLOGHLI el-Gusbàt. . ~ el-Oologhlla . st,subtotal,st,101,470,234,,1,,,,,I Segue: TERRITORIO DI MSELLÀTA OAB. DI OOLOGHLI : el-Gusbàt. . ~ el-Oologhlla . st.
130,63,0,ISRAELITI. st,quarter,st,92,404,228,2,1,,,,,ISRAELITI. st.
130,63,0,OhaJfùn . . . . . . . OhaJfùn. st,locality,st,36,158,75,3,1,,,,,OhaJfùn . . . . . . . OhaJfùn. st.
130,63,0,"Villaggio di Imùmen. ""fmùmen st",locality,st,48,227,115,9,1,Imùmen,el gusbat,Murqub,LY0210,"Villaggio di Imùmen. ""fmùmen st. '."
130,63,0,es-Sèlma . . . es-Sèlma st,locality,st,26,130,64,3,1,,,,,es-Sèlma . . . es-Sèlma st.
130,63,0,Uàdi Gherrìm. . . . Gherrlm . st,locality,st,39,150,80,24,1,,,,,Uàdi Gherrìm. . . . Gherrlm . st.
130,63,0,"Villaggio diMsindàra. Msindàra. "" st",locality,st,85,401,198,58,1,Msindàra,el gusbat,Murqub,LY0210,"Villaggio diMsindàra. Msindàra. "" st."
130,63,0,"Bèni Mlslem, Mràd Gmàta . ' Bèni Mlslem • st",locality,st,236,1100,552,68,1,,,,,"Bèni Mlslem, Mràd Gmàta . ' Bèni Mlslem • st."
130,63,0,"Gargill"", esc-Sciurrùf esc-Scebàaua 1 st",locality,st,123,512,242,19,1,,,,,"Gargill"", esc-Sciurrùf esc-Scebàaua :1 st."
130,63,0,esc-Sciurrùf . . el-Luàta el-Luàta st,locality,st,51,229,112,8,1,,,,,esc-Sciurrùf . . el-Luàta el-Luàta st .
130,63,0,"Uàdi el'Migdàl , el-Ohràrta. st",locality,st,140,608,283,14,1,,,,,"Uàdi el'Migdàl , el-Ohràrta. st."
130,63,0,Uàdi el-Ohazàu esc-Sciaaf!in. . st,locality,st,211,979,496,75,1,,,,,Uàdi el-Ohazàu esc-Sciaaf!in. . st.
130,63,0,Uàdi el-Ghilll . el-Ghilll st,locality,st,168,688,337,,1,,,,,Uàdi el-Ghilll . el-Ghilll st.
130,63,0,Bèni Let . Bèni Let . st,locality,st,113,574,298,,1,Bèni Let,el gusbat,Murqub,LY0210,Bèni Let . Bèni Let . st.
130,63,0,Uàdi ez-Zuarìa Zàviet Sìili Atìa. st,locality,st,35,169,85,4,1,Uàdi ez- Zuarìa,el gusbat,Murqub,LY0210,Uàdi ez-Zuarìa Zàviet Sìili Atìa. st.
130,63,0,Zàviet es-Smah Zàviet es-Smah. ·st,locality,st,74,354,183,22,1,Zàviet es-Smah,el gusbat,Murqub,LY0210,'Zàviet es-Smah Zàviet es-Smah. ·st.
130,63,0,Uàdua Uàdua (b) st,locality,st,155,694,354,43,1,,,,,Uàdua Uàdua (b) st.
130,63,0,ez-Zaafràu . ez-Zaafràu st,locality,st,57,255,124,18,1,,,,,ez-Zaafràu . ez-Zaafràu st.
130,63,0,OAB. MARABUTICHE Sciaàb el-Oharrùb el-Fuatìr . . st,census_1931,st,166,627,308,45,1,,,,,OAB. MARABUTICHE: Sciaàb el-Oharrùb el-Fuatìr . . st.
130,63,0,el-Oorratìa Ulàd el-Aàlem. st,locality,st,34,158,83,,1,,,,,el-Oorratìa Ulàd el-Aàlem. st.
130,63,0,Siili el-Mahagiùb Zàviet el-Aillariìu st,locality,st,27,98,50,4,1,,,,,Siili el-Mahagiùb Zàviet el-Aillariìu st.
130,63,0,Vill. o di Graràt Bèni Graràt Bèni lèclef. lèclef. . 1.16,locality,st,25,,54,,0,,,,,Vill. o di Graràt Bèni Graràt Bèni lèclef. st. lèclef. . 1.16
130,63,0,(1) ALTRI CENSITJ. st,locality,st,1,4,,,1,,,,,(1) ALTRI CENSITJ. st.
130,63,0,SEUÈD MRÀD eI-Raderàt sn,locality,sn,43,140,64,,1,Seuèd Mràd,el gusbat,Murqub,LY0210,SEUÈD MRÀD eI-Raderàt sn.
130,63,0,Oens. 1931 (*),census_1931,,26,189,41,,1,,,,,Oens. 1931 (*)
130,63,0,UÀDl AUÈNI. Burcàt Auèni . 8Jl,locality,,201,886,419,17,1,,,,,UÀDl AUÈNI. Burcàt Auèni . 8Jl.
130,63,0,Oens. 1931 (*),census_1931,,124,516,253,,1,,,,,Oens. 1931 (*)
130,63,0,EL-GATTÀR,locality,,564,2292,1115,,1,el- Gattàr,,,,EL-GATTÀR .
130,63,0,Oens_ 1931 (0) '1.123,census_1931,,353,,670,,0,,,,,Oens_ 1931 (0) '1.123
130,63,0,el - Aillàmra el Giabàrna (c) sn,locality,sn,105,437,201,49,1,,,,,el - Aillàmra: el Giabàrna (c) sn. . •
130,63,0,el - Amàmra el- Taiàsc (c). 1M,locality,sn,,464,215,19,1,,,,,el - Amàmra: el- Taiàsc (c). sn. 1M
130,63,0,(1) eI- Aillàmra Ulàd Rahùma (c). . . su,locality,,100,415,205,52,1,,,,,(1) eI- Aillàmra: Ulàd Rahùma (c). . . su. .
130,63,0,el - Aillàmra Ulàd MehèIilmed (c) • . sn,locality,sn,,231,122,33,1,,,,,el - Aillàmra: Ulàd MehèIilmed (c) • . sn.
130,63,0,el-Amàmra Gemùa. 8Jl. ·372,locality,,,745,,94,1,,,,,el-Amàmra: Gemùa. 8Jl. ·372
130,63,0,1 UÀDr TAREGLÀT,locality,,,700,338,82,1,,,,,:1 UÀDr TAREGLÀT
130,63,0,Oens. 1931 (0),census_1931,,172,706,334,,1,,,,,"Oens. 1931 (0) ,"
130,63,0,Ulàd Sciùcr esc - (1),locality,,1,,,,0,,,,,Ulàd Sciùcr esc - (1)
130,63,0,Sciuàsc. . sn,locality,sn,62,278,136,21,1,,,,,Sciuàsc. . sn.
130,63,0,Ulàd Sciùcr. su,locality,,122,422,202,61,1,,,,,Ulàd Sciùcr. su.
130,63,0,"Resld6l1za di Tarhùna. 10.029 39.271 18.~ 11!7 ' r ~t"" TERRITORIO DEGLI ED-DRAHìB • 5 235 2.430",locality,,1271,,,18,0,rio degli),tarhuna,Murqub,LY0210,"Resld6l1za di Tarhùna. 10.029 39.271 18.~ 11!7 ' r ~t"" TERRITORIO DEGLI ED-DRAHìB • 5 .. 235 2.430."
130,63,0,"Oens. 1931 (0) 4 871 2.252 """,census_1931,,1144,,,,0,,,,,"Oens. 1931 (0) 4 .. 871 2.252 :"","
130,63,0,"GRUPPO ED-DRARtB RAMO ED-DRAB ÌB ·r Tèllet Atìa,. ol-Argùb Zìbi, Mertàh, Scià bet, es-Simàr, el Giarbùa, el-Lod, el Sighi, el-.Argùb, Su hasciz . ed-Drahib. st",subtotal,st,185,781,384,,1,,,,,".GRUPPO ED-DRARtB : RAMO ED-DRAB:ÌB: ·r Tèllet Atìa,. ol-Argùb Zìbi, Mertàh, Scià bet, es-Simàr, el Giarbùa, el-Lod, el Sighi, el-.Argùb, Su hasciz . ed-Drahib. st."
130,63,0,"Bèni Nuèzi, Sof Gin, Madah . . . . . . Ulàd Iùsef ì91 l",locality,st,96,406,,,1,Bèni Nuèzi,tarhuna,Murqub,LY0210,"Bèni Nuèzi, Sof Gin, Madah . . . . . . Ulàd Iùsef st. ì91 l"
130,63,0,"Bu Lagràl, el-Esc, Ben ,,"",."",'"" Ohe ren, Latèièsc. . ez-Z~àdua st",locality,st,87,368,177,1,1,Bu Lagràl,tarhuna,Murqub,LY0210,"Bu Lagràl, el-Esc, Ben ,,"",."",'"" Ohe:ren, Latèièsc. . ez-Z~àdua st."
130,63,0,"l'auòrga, Giòf el-Ha mar, es-Saghiet Oha dràu, Bellichem el-Magàgra st",locality,st,114,517,223,,1,,,,,"'l'auòrga, Giòf el-Ha mar, es-Saghiet Oha dràu, Bellichem ... el-Magàgra st."
130,63,0,"Eu ed-Dàbaa, Muslàu, el-Lod, et-Tèlla, ot Tàlha, Betelèha, Ha- Il màier, Mesciùha, Buslàcà Zuì Sciuhubiìu (d). st",locality,st,273,1125,517,5,1,Buslacà,tarhuna,Murqub,LY0210,"Eu ed-Dàbaa, Muslàu, el-Lod, et-Tèlla, ot Tàlha, Betelèha, Ha- Il màier, Mesciùha, Buslàcà·. Zuì Sciuhubiìu (d). st."
130,63,1,"1----_-_ - _1-=--=--=--=--_-_-_-_-ll .- -=-.-=--=--=--=--=--=- -2_-_-_-=-_=_-=-=_-=-- ---'-7-_s_- -c---__ , __ + ___ 5 __ -- -___ 6 __ -'--__ 7 ___ -'- --____ _ 1 _____ --'- _____ --=2'--__ ._--' ---=s'--7_. .' __",locality,,,,,,0,,,,,"1----_-_ -::_1-=--=--=--=--_-_-_-_-ll::.-::-=-.-=--=--=--=--=--=-::-2_-_-_-=-_=_-=-=_-=--:---'-7-_s_-;-c---__ , __ + ___ 5 __ --;-___ 6 __ -'--__ 7 ___ -'-::--____ _ 1 _____ --'- _____ --=2'--__ ._--';---=s'--7_.::.' __."
130,63,1,"Segue TERRITORIO DEGLI ED-DRAB ÌB RAMo. EL-RAlIIADÀT 24 Garàet en-Nèfi!ati, Tui- lèt All, Timàs, Ar- gùb Rsesbi . Hamadàt Sràt st",subtotal,st,328,1252,555,,1,,,,,"Segue: TERRITORIO DEGLI ED-DRAB:ÌB RAMo. EL-RAlIIADÀT : 24 Garàet en-Nèfi!ati, Tui- lèt All, Timàs, Ar- gùb Rsesbi . Hamadàt Sràt st."
130,63,1,"et-Tèlla, el-Lod, el- Greàa, Argùb el-Fa- raÙIl, ed-Dèmua . Hamadàt el-Abèter. st",locality,st,188,786,383,,1,,,,,"et-Tèlla, el-Lod, el- Greàa, Argùb el-Fa- raÙIl, ed-Dèmua . Hamadàt el-Abèter. st."
130,63,1,TERRITORIO DEGLI EL-HAUÀTEM,subtotal,,1685,6529,3137,,1,,,,,TERRITORIO DEGLI EL-HAUÀTEM • . . . . .
130,63,1,Oens. 1931 (0),census_1931,,1595,6323,2959,,1,,,,,Oens. 1931 (0)
