mahalla_ar,baladiya_ar,city_ar,polling_centres
خوالن,األبرق,القبة,1
خور اوقيدة,ال تيقة,خور اوقيدة,1
خويلد,قرص بن غشرت,خويلد,1
دحمان الشقية,صرتاتة,صرتاتة,1
دحمان الوسط,صرتاتة,صرتاتة,1
درج,درج,درج,1
دريانه,توكرا,دريانه,4
دندخ,الساحل,دندخ,1
دنون,غريان,غريان,1
دوغة,ترهونة,ترهونة,1
رأس أجدير,زوارة,زوارة,1
رأس الحمام,الخمس,الخمس,2
رأس الدايون,صرتاتة,صرتاتة,3
رأس الطبل,نسمة,نسمة,1
رأس الهالل,القبة,القبة,1
رأس حسن,سوق الجمعة,طرابلس,3
رأس عزاز,امساعد,طربق,1
رأس عمار,مرصاتة,مرصاتة,1
راس اعبيدة,بنغازي,بنغازي المركز,4
راس التاب,شحات,راس التاب,1
راشدة - جالو,جالو,جالو,2
ربيانة,الكفرة,الكفرة,1
ردود الزاوية,قرص بن غشرت,قرص بن غشرت,8
رست المركز,رست,رست,3
رسق رست,رست,رست,1
رقدال ي,رقدال ي,رقدال ي,4
زاوية الباقول,يفرن,العويتيه,1
زاوية الدهمان,طرابلس المركز,طرابلس,4
زاوية العرقوب,الساحل,زاوية العرقوب,1
زاوية المحجوب,مرصاتة,مرصاتة,8
زكري,رصمان,رصمان,2
زلة المركز,الجفرة,زلة,2
زلطن,زلطن,زلطن,4
زلواز,براك,الشا,2
زمزم,زمزم,زمزم,3
زناتة,سوق الجمعة,طرابلس,4
زناته,سوق الجمعة,طرابلس,1
زوارة الجنوبية,زوارة,زوارة,2
زوارة الشقية,زوارة,زوارة,2
زوارة الشمالية,زوارة,زوارة,3
زوارة الغربية,زوارة,زوارة,2
زويلة,الشقية,زويلة,1
ساس,جردس,ساس,1
سكرة,سبها,سبها,2
سلطان,الزويتينة وسلطان,سلطان,2
سلطان,رست,رست,1
سلوق,سلوق,سلوق,10
سم الديس,مسالتة,مسالته,1
سمنو,البوانيس,سبها,1
سواب فسانو,مزدة,مزدة,1
سوسه,شحات,سوسه,2
سوف الج ي,ب ن وليد,ب ن وليد,2
سوق األحد,ترهونة,ترهونة,2
سوق األحد,رصمان,رصمان,1
سوق الجمعة,ترهونة,ترهونة,3
سوق السبت,قرص بن غشرت,قرص بن غشرت,6
سوكنة,الجفرة,سوكنة,2
سيدى خليفة,تاجوراء,طرابلس,1
سيدي احمد,العجيالت,العجيالت,1
سيدي احميد,ترهونة,ترهونة,3
سيدي اعبيد,بنغازي,بنغازي المركز,4
سيدي الجيالب,سوق الخميس,سوق الخميس,3
سيدي امعمر,ترهونة,ترهونة,2
سيدي امهيوس,االبيار,االبيار,1
سيدي جابر,سوق الخميس,سوق الخميس,1
سيدي جرتيل,المرج,المرج,1
سيدي حس ي,بنغازي,بنغازي المركز,6
سيدي خالد,القبة,القبة,1
سيدي خليفة,الخمس,الخمس,3
سيدي خليفة,بنغازي,سيدي خليفة,6
سيدي خليفة,نالوت,نالوت,2
سيدي سليم,أبوسليم,طرابلس,4
سيدي عبد اللطيف,جتور,طرابلس,3
سيدي عبدالعاط,قمينس,المقرون,1
سيدي عم ت,قرص األخيار,قرص األخيار,3
سيدي عيىس,الزاوية المركز,الزاوية,7
سيدي معروف,صرتاتة,صرتاتة,1
سيدي نض,الزاوية المركز,الزاوية,3
سيل ي,الخمس,الخمس,3
سيناون,درج,درج,1
شارع الرصيم,طرابلس المركز,طرابلس,1
شحات الجديدة,شحات,شحات,4
شحات القديمة,شحات,شحات,1
شداد,نالوت,نالوت,2
شفة المالحة,سوق الجمعة,طرابلس,4
شكشوك,جادو,جادو,1
شماس,امساعد,طربق,1
شهداء ابوسليم,أبوسليم,طرابلس,1
شهداء الدامور,أبوسليم,طرابلس,1
شهداء الدامور (أم درمان),أبوسليم,طرابلس,1
شهداء الزاوية,الزاوية المركز,الزاوية,2
شهداء الزاوية,بنغازي,الرتكة,2
شهداء السالوي,بنغازي,السالوي,5
شهداء السلما ن,بنغازي,بنغازي المركز,2
شهداء السلمان,بنغازي,بنغازي المركز,4
شهداء المرقب,الخمس,الخمس,2
شهداء الها ن,سوق الجمعة,طرابلس,1
شهداء الهان,سوق الجمعة,طرابلس,4
شهداء ثيبشان,الرجبان,الرجبان,1
شهداء ع ي زاره,ع ي زاره,طرابلس,1
شهداء عبدالجليل,جتور,طرابلس,4
صالح الدين,أبوسليم,طرابلس,1
صرتاتة المدينة,صرتاتة,صرتاتة,1
ض الهالل,الزاوية المركز,الزاوية,3
طبقة,الزنتان الجنوبية,طبقة,1
طرغونية,البيضاء,طرغونية,1
طرميسة,جادو,جادو الشمالية,1
طريق الثقيل,مرصاتة,مرصاتة,1
طريق المطار,بن وليد,بن وليد,1
طلميثة,الساحل,طلميثة,2
طلميثة الشقية,الساحل,سيدى اسماعيل,1
طلميثة الشمالية,الساحل,طلميثة,1
طمزين,الحرابه,طمزين,1
طمينة,مرصاتة,مرصاتة,3
ظهرة الماجن,باطن الجبل,بدر,1
ع ي الدوارة,طرابلس المركز,طرابلس,3
ع ي الغزالة,طربق,طربق,1
ع ي زاره الجنو ن,ع ي زاره,طرابلس,4
ع ي زاره الشما ل,ع ي زارة,طرابلس,1
ع ي مارة,القبة,القبة,2
عباد,مرصاتة,مرصاتة,2
عر ي المشاشية / قطة,ادرى,الشا,1
عرادة,سوق الجمعة,طرابلس,1
عطاء هللا الشقيقة,الشقيقة,الشقيقة,1
عطاف,رصمان,رصمان,3
عقبة بن نافع,سوق الجمعة,طرابلس,5
عكرمة,طربق,عكرمة,1
عمر المختار,البيضاء,عمر المختار,1
عمر المختار,طربق,طربق,3
عمر بن العاص,سوق الجمعة,طرابلس,4
عيون دوغة,ترهونة,ترهونة,1
غات,غات,غات,4
غدوة,سبها,سبها,1
غرغور,أبوسليم,طرابلس,4
غنيمة,الخمس,الخمس,1
غوط ابو ساق,سوان بن أدم,السوان,1
غوط الروضة,العجيالت,العجيالت,3
غوط الري ح,غريان,غريان,1
غوط السلطان,االبيار,غوط السلطان,1
غوط الشعال,ج األندلس,طرابلس,2
غوط الشعال,ج االندلس,طرابلس,11
فرزوغة,المرج,وادى العقر,1
فرزوغه,المرج,فرزوغه,1
فروة,زوارة,زوارة,1
فشلوم,طرابلس المركز,طرابلس,4
فطرة,ع ي زارة,طرابلس,1
فطناسة,رصمان,رصمان,1
فنقل,تراغن,فنقل,1
ق تان,غريان,غريان / القواسم,1
قاريونس,بنغازي,الرتكة,5
قاليل,صرتاتة,صرتاتة,1
قدر ف,الكفرة,الكفرة,1
قراقرة,الغريفة,قراقرة,2
قرت عون,بنت بيه,قرت عون,1
قرتة,براك,الشا,2
قرزه,زمزم,قرزه,1
قرص أحمد,مرصاتة,مرصاتة,3
قرص األخيار الغربية,قرص األخيار,قرص األخيار,2
قرص األخيار المركز,قرص األخيار,قرص األخيار,2
قرص احمد,مرصاتة,مرصاتة,2
قرص الجدي,امساعد,طربق,2
قرص الجديد,مسالتة,مسالته,1
قرص الحاج,الرجبان,الرجبان,1
قرص الشيف,االبيار,االبيار,1
قرص العرايسية,ادرى,الشا,1
قرص المقدم,البيضاء,قرص المقدم,1
قرص ليبيا,الساحل,قرص ليبيا,1
قرص مسعود,القطرون,قرص مسعود,1
قرص وامس,الشقيقة,الشقيقة,1
قرقارش,ج االندلس,طرابلس,2
قرقوزة,المعمورة,المعمورة,4
قرقوزة الشقية,المعمورة,قرقوزة الشقية,1
قرنادة,شحات,قرنادة,1
قطة,ادرى,الشا,1
قطيس,غريان,غريان / قطيس,1
ققمم,القرضة,الشا,1
قمينس,قمينس,قمينس,5
قندولة,البيضاء,قندولة,1
قوقاس,الخمس,الخمس,2
كاباو الجنوبية,كاباو,كاباو,1
كاباو الشمالية,كاباو,كاباو,2
كادوش,زليت,زليت,4
كب تة االخباء,الجميل,الجميل,2
كرزاز,مرصاتة,مرصاتة,2
كرسة,درنة,درنة,1
كركورة,قمينس,المقرون,2
كروط,الخمس,الخمس- الساحل,1
كعام,الخمس,الخمس,5
كعام,زليت,زليت,4
ككلة الشمالية,ككلة,ككلة,1
ككلة الغربية,ككلة,ككلة,1
كمبوت,طربق,طربق,4
كمون,غريان,غريان / كمون,1
لبدة,الخمس,الخمس,3
لملودة,القبة,القبة,1
لملوم,بنغازي,الرتكة,1
ماترس,درج,درج,1
ماجر,زليت,زليت,6
ماجن القروش,القلعة,القلعة,1
ماسة الشمالية,البيضاء,ماسة,1
ماسه,البيضاء,سيدي عبدالواحد,1
ماسه الجنوبية,البيضاء,ماسه,1
ماسه الشمالية,البيضاء,ماسه,1
مجدول,الشقية,مجدول,1
محروقة,القرضة,الشا,2
محلة الساحل,رصمان,رصمان,1
محلة العاللقة,صرتاتة,صرتاتة,1
محلة الوادي,مسالتة,مسالته,1
محلة رأس الديوان,صرتاتة,صرتاتة,1
مخلوف,رصمان,رصمان,3
مدروسة,القطرون,مدروسة,1
مر س لك,بب االشهب,طربق,1
مرادة,مرادة,مرادة,1
مراوة,البيضاء,مراوة,1
مرباط,مرصاتة,مرصاتة,1
مرتوبة,درنة,درنة,2
مرحبا,وادى عتبة,مرحبا,1
مرزق,مرزق,مرزق,8
مرغرين,زليت,زليت,3
مزده,مزدة,مزدة,2
مسقوين,الشقية,مسقوين,1
مسكة (اسنان),االصابعة,االصابعة,1
مسوس,سلوق,سلوق,1
مسيحل,سوق الخميس,سوق الخميس,1
مشوع الهضبة الزراع,أبوسليم,طرابلس,1
مكنوسة,وادى عتبة,مكنوسة,1
منطقة الحدائق,بنغازي,الرتكة,1
منغساتن,درج,درج,1
ميدان الشهداء,طرابلس المركز,طرابلس,3
ميمون,بن وليد,بن وليد,1
نارص,الزاوية الجنوب,الزاوية,1
نسمة المركز,نسمة,نسمة,1
نسمة المركزية,نسمة,نسمة,1
نقر كنمة,القطرون,نقر كنمة,1
هراوة,هراوة,هراوة,2
هون الجنوبية,الجفرة,هون,2
هون الشمالية,الجفرة,هون,2
وادي ال يح,غريان,غريان / وادي ال يح,1
وادي الربيع,سيدي السائح,سيدي السائح,1
وادي السدر,باطن الجبل,تندمرتة,1
وادي القواسم,غريان,غريان / القواسم,1
وادي وعي ن,مسالتة,مسالته,1
وازن,وازن,وازن,1
وازيت,غدامس,غدامس,1
ودان,الجفرة,ودان,1
ودان الجنوبية,الجفرة,ودان,1
ودان الشمالية,الجفرة,ودان,1
وردامه,وردامه,وردامه,1
وريمة,تاجوراء,طرابلس,1
وسط الجميل,الجميل,الجميل,1
وسط المدينة,سبها,سبها,5
وسط المدينة,مرصاتة,مرصاتة,3
وسعاية بديري,طرابلس المركز,طرابلس,2
وليد,غدامس,غدامس,1
ونزريك,ادرى,الشا,2
ويفات,جادو,جادو,1
يدر,مرصاتة,مرصاتة,2
يفرن الشمالية,يفرن,يفرن,1
يفرن الظاهر,ظاهر الجبل,يفرن,1
