year,month,date,group_code,group_name,index,weight,base_year,base_year_source,has_conflict,mom_change_pct,annual_average,family,source_document,source_sha256
2021,11,2021-11,11,Restaurants and Hotels,344.9,1.7,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,11,2021-11,12,Miscellaneous Goods and Services,293.8,3.1,,unresolved,0,,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,00,General Index,280.5,100.0,,unresolved,0,-0.1,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,01,Food and Beverages,319.2,38.8,,unresolved,0,-0.4,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,02,Tobacco,264.1,0.7,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,03,Clothing and Footwear,424.8,6.4,,unresolved,0,0.4,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,04,"Housing, Water, Electricity and Other Fuels",180.7,22.7,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,05,Furniture and Household Equipment,359.7,4.9,,unresolved,0,0.4,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,06,Health,341.4,4.1,,unresolved,0,0.0,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
2021,12,2021-12,07,Transport,205.2,8.1,,unresolved,0,0.1,,B,تقرير-حول-التضخم-والأرقام-القياسية-لأسعار-المستهلك-عن-شهر-ديسمبر-2021.pdf,03d5da0e8a3744ca58dba5ddf06628a5f782910f9db513a7ff010dedad1da8d8
