date,year,month,currency_in_circulation,cash_in_vault,deposits_with_central_bank,bank_reserves_total,public_enterprise_demand_deposits,monetary_base
2008-05-31,2008,5,4972.0,480.9,6655.5,7136.4,626.5,12734.9
2008-06-30,2008,6,5015.4,489.8,9201.8,9691.6,408.6,15115.6
2008-07-31,2008,7,4975.2,531.1,10237.6,10768.7,395.1,16139.0
2008-08-31,2008,8,5085.1,502.6,11796.0,12298.6,843.1,18226.8
2008-09-30,2008,9,5387.9,484.3,10292.4,10776.7,547.0,16711.6
2008-10-31,2008,10,5207.7,599.3,10113.7,10713.0,592.6,16513.3
2008-11-30,2008,11,5238.8,682.6,13359.3,14041.9,895.9,20176.6
2008-12-31,2008,12,5608.3,374.4,12239.9,12614.3,659.0,18881.6
2009-01-31,2009,1,5595.1,496.6,10386.6,10883.2,719.1,17197.4
2009-02-28,2009,2,5701.0,478.0,9887.1,10365.1,718.3,16784.4
2009-03-31,2009,3,5714.0,581.5,9989.7,10571.2,668.7,16953.9
2009-04-30,2009,4,5764.1,591.3,11392.8,11984.1,375.4,18123.6
2009-05-31,2009,5,5809.6,639.2,10760.3,11399.5,347.8,17556.9
2009-06-30,2009,6,5958.7,660.9,11543.9,12204.8,347.5,18511.0
2009-07-31,2009,7,5935.1,769.2,11961.0,12730.2,314.6,18979.9
2009-08-31,2009,8,6133.2,698.7,11505.5,12204.2,352.3,18689.7
2009-09-30,2009,9,6484.9,748.5,11438.2,12186.7,322.2,18993.8
2009-10-31,2009,10,6312.4,840.7,11602.4,12443.1,532.5,19288.0
2009-11-30,2009,11,6782.4,661.5,12137.7,12799.2,395.4,19977.0
2009-12-31,2009,12,6962.9,512.0,12670.0,13182.0,317.9,20462.8
2010-01-31,2010,1,6848.5,803.0,11136.8,11939.8,469.0,19257.3
2010-02-28,2010,2,6917.8,723.8,11298.9,12022.7,518.3,19458.8
2010-03-31,2010,3,6879.1,813.4,11161.7,11975.1,622.6,19476.8
2010-04-30,2010,4,6898.6,807.2,10928.6,11735.8,3324.2,21958.6
2010-05-31,2010,5,6957.9,881.4,12002.7,12884.1,591.2,20433.2
2010-06-30,2010,6,6860.7,951.1,11688.3,12639.4,546.0,20046.1
2010-07-31,2010,7,6876.7,967.4,12608.3,13575.7,1156.9,21609.3
2010-08-31,2010,8,7056.0,933.8,12766.8,13700.6,1150.5,21907.1
2010-09-30,2010,9,7274.8,969.9,12511.1,13481.0,1132.9,21888.7
