shabiya_ar,shabiya_en,volume_title_ar,mahalla_count,libyan_hh_households,libyan_hh_libyans,libyan_hh_non_libyans,libyan_hh_persons,non_libyan_hh_households,non_libyan_hh_libyans,non_libyan_hh_non_libyans,non_libyan_hh_persons,households,libyans,non_libyans,persons,area_km2,density_per_km2,source_document,source_sha256
الواحات,Al Wahat,الواحات,20,22895,163581,1591,165172,3919,1137,12846,13983,26814,164718,14437,179155,108523,1.65,نتائج-تعداد-العام-لسكان-مدينة-الواحات-لسنة-2006م.pdf,d5336dbaf7c43469b86dceb34d6284f198c33ee249c8b746c036b9669bafcbb5
بنغازي,Benghazi,بنغازي,50,106428,619119,8957,628076,11838,3029,43846,46875,118266,622148,52803,674951,11372,59.35,نتائج-تعداد-العام-لسكان-مدينة-بنغازي-لسنة-2006م.pdf,9fa6935d521954c4742d81a2095801d256aa05dcb42739a144e90c17ff1bdd55
درنة,Derna,درنة,27,25571,154489,1862,156351,1430,913,5593,6506,27001,155402,7455,162857,31511,5.17,نتائج-تعداد-العام-لسكان-مدينة-درنة-لسنة-2006م.pdf,76178c5c9932bc74b65f919feedd035f8deeb842f7b008a8cbb1022b0855f057
سبها,Sabha,سبها,10,19777,117908,1485,119393,4146,1130,12683,13813,23923,119038,14168,133206,17066,7.81,نتائج-تعداد-العام-لسكان-مدينة-سبها-لسنة-2006م.pdf,accadd7b9f323ed14415a63f2b541af7a0bd6d390057ef0d809eb76e7bbc90d3
سرت,Sirte,سرت,24,17444,131048,881,131929,2608,738,8828,9566,20052,131786,9709,141495,86399,1.64,نتائج-تعداد-العام-لسكان-مدينة-سرت-لسنة-2006م.pdf,74a28f90d1fc0624684e8e799b8af5dde515edf83048a7df47b898180775e2ed
البطنان,Butnan,طبرق,17,20907,149630,1477,151107,1806,723,5917,6640,22713,150353,7394,157747,84996,1.86,نتائج-تعداد-العام-لسكان-مدينة-طبرق-لسنة-2006م.pdf,265462ebe09e53bd0aba355013006d0ec4544f54cf18de71a04286b2fffdf8fb
طرابلس,Tripoli,طرابلس,40,177385,991821,10146,1001967,16613,5244,56360,61604,193998,997065,66506,1063571,835,1273.74,نتائج-التعداد-العام-لسكان-مدينة-طرابلس-لسنة-2006.pdf,0d7109914d2ea154055014f2e1e513869a19de7ea1c9035c4aabf7989b1c24e2
غات,Ghat,غات,3,3357,21131,143,21274,458,198,1727,1925,3815,21329,1870,23199,68482,0.34,نتائج-تعداد-العام-لسكان-مدينة-غات-لسنة-2006م.pdf,1d4b4d17ff7ab56497274031930bc3df66c9bb09f2de3d37809972a91a7cd315
مرزق,Murzuq,مرزق,18,11589,72028,622,72650,2027,485,5637,6122,13616,72513,6259,78772,356308,0.22,نتائج-تعداد-العام-لسكان-مدينة-مرزق-لسنة-2006م.pdf,e50911b2564e64b72403cf30cdaa22cfac7146ed1daf12b95e8fef063d275ecd
مصراته,Misrata,مصراتة,59,84144,509688,3145,512833,8494,1940,28356,30296,92638,511628,31501,543129,29172,18.62,نتائج-تعداد-العام-لسكان-مدينة-مصراتة-لسنة-2006م.pdf,9bd2d712f9fc7fa3533c452fd699eb83f1c031dd85f1923c4d53f343b6b98c1d
نالوت,Nalut,نالوت,28,14951,87397,414,87811,1614,375,5710,6085,16565,87772,6124,93896,67191,1.4,نتائج-تعداد-العام-لسكان-مدينة-نالوت-لسنة-2006م.pdf,91174499e2ab56935ac00a191069014231ed1af9170c21a7581f10259e3b1e5a
وادي الحياة,Wadi al Hayaa,وادي الحياة,12,11545,70324,504,70828,1719,387,5043,5430,13264,70711,5547,76258,31485,2.42,نتائج-تعداد-العام-لسكان-مدينة-وادي-الحياة-لسنة-2006م.pdf,04e835c1759e8142629248766c7a5cb81326b055f4f3c8179be4956dd13870d2
