mahalla_id,mahalla_ar,mahalla_key,shabiya_ar,shabiya_en,shabiya_gadm_name,shabiya_codab_pcode,name_unique_nationally,name_unique_in_shabiya,codab_place_pcode,codab_place_en,codab_place_ar,match_method,baladiya_2013,baladiya_source,census_persons_2006,census_households_2006
Jabal al Akhdar-004,الحمامة,حمامه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,1817,284
Jabal al Akhdar-005,الغريفة,غريفه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,0,1,,,,unmatched,,not_established,62868,8976
Jabal al Akhdar-006,السوق القديم,سوقالقديم,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,8758,1539
Jabal al Akhdar-007,الزاوية القديمة,زاويهالقديمه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,6349,1445
Jabal al Akhdar-008,وردامة,وردامه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,9027,1310
Jabal al Akhdar-009,شحات القديمة,شحاتالقديمه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,7492,1158
Jabal al Akhdar-010,شحات الجديدة,شحاتالجديده,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,16349,2415
Jabal al Akhdar-011,ناصر,ناصر,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,0,1,,,,unmatched,,not_established,1092,185
Jabal al Akhdar-012,سوسة المدينة,سوسهالمدينه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,5947,1012
Jabal al Akhdar-013,المنصورة,منصوره,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,0,1,,,,unmatched,,not_established,1744,252
Jabal al Akhdar-014,الصفصاف,صفصاف,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,2038,267
Jabal al Akhdar-015,اقفنطة,اقفنطه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,771,94
Jabal al Akhdar-016,سيدي عبد الواحد,سيديعبدالواحد,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,2057,296
Jabal al Akhdar-017,الفجر الجديد,فجرالجديد,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,2682,339
Jabal al Akhdar-018,عمر المختار,عمرالمختار,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,0,1,,,,unmatched,,not_established,6556,1093
Jabal al Akhdar-019,اسلطنة,اسلطنه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,2678,406
Jabal al Akhdar-020,النيان,نيان,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,342,51
Jabal al Akhdar-021,الخويمات,خويمات,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,552,76
Jabal al Akhdar-022,جردس الجراري,جردسالجراري,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,1202,205
Jabal al Akhdar-023,قندولة,قندوله,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,6335,989
Jabal al Akhdar-024,الفائدية الشمالية,فائديهالشماليه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,3562,503
Jabal al Akhdar-025,اشنيشن,اشنيشن,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,1158,153
Jabal al Akhdar-026,الزاوية,زاويه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,0,1,,,,unmatched,,not_established,799,124
Jabal al Akhdar-027,قرنادة,قرناده,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,3434,501
Jabal al Akhdar-028,بلقس,بلقس,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,713,90
Jabal al Akhdar-029,مسه الجنوبية,مسهالجنوبيه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,3425,522
Jabal al Akhdar-030,مسة الشمالية,مسهالشماليه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,6393,906
Jabal al Akhdar-031,الحنية,حنيه,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,2967,404
Jabal al Akhdar-032,قصر ليبيا,قصرليبيا,الجبل الأخضر,Jabal al Akhdar,Al Jabal al Akhdar,LY0106,1,1,,,,unmatched,,not_established,4878,593
Jabal al Gharbi-001,سيدي موسى,سيديموسي,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3903,768
Jabal al Gharbi-002,تغسات,تغسات,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,21386,4125
Jabal al Gharbi-003,سيدي يعقوب,سيدييعقوب,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4597,885
Jabal al Gharbi-004,قطيس,قطيس,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1019,313
Jabal al Gharbi-005,انصير,انصير,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3264,581
Jabal al Gharbi-006,تغرنة,تغرنه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3637,719
Jabal al Gharbi-007,سيدي انطاط,سيديانطاط,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4466,856
Jabal al Gharbi-008,غوط الريح,غوطالريح,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,200,28
Jabal al Gharbi-009,وادي الارباع,واديالارباع,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3345,678
Jabal al Gharbi-010,ابو زيان,ابوزيان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4094,902
Jabal al Gharbi-011,اوسادن,اوسادن,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3118,595
Jabal al Gharbi-012,الجنوب \ ابو زيان,جنوب\ابوزيان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3528,753
Jabal al Gharbi-013,الوسط \ ابو زيان,وسط\ابوزيان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4077,824
Jabal al Gharbi-014,سيدي خليفة,سيديخليفه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,2909,538
Jabal al Gharbi-015,البحرية,بحريه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3527,650
Jabal al Gharbi-016,ابو غيلان,ابوغيلان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,6449,1078
Jabal al Gharbi-017,الوادي \ القواسم,وادي\القواسم,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3477,622
Jabal al Gharbi-018,البوصيري,بوصيري,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3411,640
Jabal al Gharbi-019,الشيخ,شيخ,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,3493,614
Jabal al Gharbi-020,الوسط \ القواسم,وسط\القواسم,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,5350,972
Jabal al Gharbi-021,الوحدة,وحده,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,2079,399
Jabal al Gharbi-022,البيضاء,بيضاء,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,6552,941
Jabal al Gharbi-023,القصبة,قصبه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,2430,395
Jabal al Gharbi-024,ابو جعفر,ابوجعفر,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3456,562
Jabal al Gharbi-025,اسنان,اسنان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2852,470
Jabal al Gharbi-026,الظاهر,ظاهر,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,0,,,,unmatched,,not_established,5266,960
Jabal al Gharbi-027,الهنشير,هنشير,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,5246,983
Jabal al Gharbi-028,الوسط \ الاصابعة,وسط\الاصابعه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,6237,1057
Jabal al Gharbi-029,جندوبة,جندوبه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3848,667
Jabal al Gharbi-030,الشرف,شرف,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,5873,1011
Jabal al Gharbi-031,الرابطة,رابطه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,4001,819
Jabal al Gharbi-032,الوادي الحي,واديالحي,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4920,949
Jabal al Gharbi-033,الغربية \ ككلة,غربيه\ككله,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,5759,1053
Jabal al Gharbi-034,الوادي \ ككلة,وادي\ككله,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,267,70
Jabal al Gharbi-035,ابو ماضي,ابوماضي,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,570,96
Jabal al Gharbi-036,القواليش,قواليش,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4370,716
Jabal al Gharbi-037,الشمالية \ ككلة,شماليه\ككله,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1184,237
Jabal al Gharbi-038,الوسط \ ككلة,وسط\ككله,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2670,566
Jabal al Gharbi-039,الزاوية,زاويه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,1360,184
Jabal al Gharbi-040,العوينية,عوينيه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,8675,1045
Jabal al Gharbi-041,القصر,قصر,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,4813,991
Jabal al Gharbi-042,الشمالية \يفرن,شماليه\يفرن,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2433,505
Jabal al Gharbi-043,الجديدة,جديده,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,,,,unmatched,,not_established,2593,550
Jabal al Gharbi-044,ام الجرسان,امالجرسان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4912,874
Jabal al Gharbi-045,الظاهر,ظاهر,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,0,,,,unmatched,,not_established,4970,747
Jabal al Gharbi-046,الوادي \ القلعة,وادي\القلعه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3934,736
Jabal al Gharbi-047,العليا,عليا,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4122,849
Jabal al Gharbi-048,الشرقية \ الرياينة,شرقيه\الرياينه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3582,519
Jabal al Gharbi-049,الوسط \ الرياينة,وسط\الرياينه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1368,220
Jabal al Gharbi-050,العين \ الرياينة,عين\الرياينه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,3801,644
Jabal al Gharbi-051,الغربية \ الرياينة,غربيه\الرياينه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2080,352
Jabal al Gharbi-052,ابو لجام,ابولجام,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1439,249
Jabal al Gharbi-053,الغربية \ الزنتان,غربيه\الزنتان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,8655,1272
Jabal al Gharbi-054,الجنوبية \ الزنتان,جنوبيه\الزنتان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,7420,1231
Jabal al Gharbi-055,المركز \ الزنتان,مركز\الزنتان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2162,371
Jabal al Gharbi-056,الشرقية \ الزنتان,شرقيه\الزنتان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,5414,774
Jabal al Gharbi-057,الشمالية \ الزنتان,شماليه\الزنتان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2536,411
Jabal al Gharbi-058,القصبة \ جادو,قصبه\جادو,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1495,272
Jabal al Gharbi-059,شكشوك,شكشوك,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1623,290
Jabal al Gharbi-060,الشمالية \ جادو,شماليه\جادو,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1913,382
Jabal al Gharbi-061,المركز \ جادو,مركز\جادو,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2891,696
Jabal al Gharbi-062,الوسط \ جادو,وسط\جادو,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2238,485
Jabal al Gharbi-063,الغربية \ جادو,غربيه\جادو,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1673,302
Jabal al Gharbi-064,قصر الحاج,قصرالحاج,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,869,150
Jabal al Gharbi-065,الغربية \ الرجبان,غربيه\الرجبان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,5240,830
Jabal al Gharbi-066,الوسط \ الرجبان,وسط\الرجبان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2239,328
Jabal al Gharbi-067,الشرقية \ الرجبان,شرقيه\الرجبان,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1920,285
Jabal al Gharbi-068,الزملة,زمله,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,5139,716
Jabal al Gharbi-069,الوسط \ الرحيبات,وسط\الرحيبات,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2042,405
Jabal al Gharbi-070,امسين,امسين,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2021,391
Jabal al Gharbi-071,الشمالية \ الرحيبات,شماليه\الرحيبات,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,787,140
Jabal al Gharbi-072,مزدة المركز,مزدهالمركز,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,13661,2111
Jabal al Gharbi-073,فسانو,فسانو,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1129,169
Jabal al Gharbi-074,قصر وامس,قصروامس,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1755,254
Jabal al Gharbi-075,الشقيقة,شقيقه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,0,1,LY021612,Ashshgega,الشقيقة,codab_gazetteer_same_shabiya,,not_established,3691,493
Jabal al Gharbi-076,عطاء الله,عطاءالله,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1680,206
Jabal al Gharbi-077,نسمة المركز,نسمهالمركز,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,4944,800
Jabal al Gharbi-078,راس الطبل,راسالطبل,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,455,75
Jabal al Gharbi-079,المكمورة,مكموره,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,236,36
Jabal al Gharbi-080,القرية الشرقية,قريهالشرقيه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2434,414
Jabal al Gharbi-081,القرية الغربية,قريهالغربيه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1138,192
Jabal al Gharbi-082,طبقة,طبقه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2311,328
Jabal al Gharbi-083,الشويرف الشرقية,شويرفالشرقيه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,2491,395
Jabal al Gharbi-084,الشويرف الغربية,شويرفالغربيه,الجبل الغربي,Jabal al Gharbi,Al Jabal al Gharbi,LY0216,1,1,,,,unmatched,,not_established,1591,274
Jafara-001,جنزور السوق,جنزورالسوق,الجفارة,Jafara,Al Jifarah,LY0212,1,1,,,,unmatched,,not_established,12333,2536
Jafara-002,جنزور الشرقية,جنزورالشرقيه,الجفارة,Jafara,Al Jifarah,LY0212,1,1,,,,unmatched,,not_established,47912,8624
Jafara-003,الحشان,حشان,الجفارة,Jafara,Al Jifarah,LY0212,0,1,,,,unmatched,,not_established,7476,1508
Jafara-004,صياد,صياد,الجفارة,Jafara,Al Jifarah,LY0212,1,1,,,,unmatched,,not_established,17853,3358
