mahalla_id,shabiya_ar,shabiya_en,mahalla_ar,libyan_hh_households,libyan_hh_libyans,libyan_hh_non_libyans,libyan_hh_persons,non_libyan_hh_households,non_libyan_hh_libyans,non_libyan_hh_non_libyans,non_libyan_hh_persons,households,libyans,non_libyans,persons,identity_failures,imputed_cells,page,source_document,source_sha256
Jabal al Gharbi-004,الجبل الغربي,Jabal al Gharbi,قطيس,101,667,14,681,212,9,329,338,313,676,343,1019,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-005,الجبل الغربي,Jabal al Gharbi,انصير,579,3240,16,3256,2,0,8,8,581,3240,24,3264,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-006,الجبل الغربي,Jabal al Gharbi,تغرنة,668,3417,21,3438,51,8,191,199,719,3425,212,3637,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-007,الجبل الغربي,Jabal al Gharbi,سيدي انطاط,827,4309,26,4335,29,4,127,131,856,4313,153,4466,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-008,الجبل الغربي,Jabal al Gharbi,غوط الريح,28,200,0,200,0,0,0,0,28,200,0,200,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-009,الجبل الغربي,Jabal al Gharbi,وادي الارباع,675,3328,5,3333,3,1,11,12,678,3329,16,3345,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-010,الجبل الغربي,Jabal al Gharbi,ابو زيان,829,3849,14,3863,73,9,222,231,902,3858,236,4094,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-011,الجبل الغربي,Jabal al Gharbi,اوسادن,591,3099,4,3103,4,0,15,15,595,3099,19,3118,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-012,الجبل الغربي,Jabal al Gharbi,الجنوب \ ابو زيان,677,3430,13,3443,76,3,82,85,753,3433,95,3528,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-013,الجبل الغربي,Jabal al Gharbi,الوسط \ ابو زيان,789,3968,8,3976,35,5,96,101,824,3973,104,4077,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
