mahalla_id,shabiya_ar,shabiya_en,mahalla_ar,libyan_hh_households,libyan_hh_libyans,libyan_hh_non_libyans,libyan_hh_persons,non_libyan_hh_households,non_libyan_hh_libyans,non_libyan_hh_non_libyans,non_libyan_hh_persons,households,libyans,non_libyans,persons,identity_failures,imputed_cells,page,source_document,source_sha256
Jabal al Gharbi-083,الجبل الغربي,Jabal al Gharbi,الشويرف الشرقية,320,2119,27,2146,75,25,320,345,395,2144,347,2491,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jabal al Gharbi-084,الجبل الغربي,Jabal al Gharbi,الشويرف الغربية,206,1323,0,1323,68,16,252,268,274,1339,252,1591,0,0,12,نتائج-تعداد-العام-لسكان-مدينة-الجبل-الغربي-لسنة-2006م.pdf,9f4187fbfba8718d5dc183761fdcbbd050421bc98b7513708a7d6095e6ba50c8
Jafara-001,الجفارة,Jafara,جنزور السوق,2153,10768,97,10865,383,44,1424,1468,2536,10812,1521,12333,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-002,الجفارة,Jafara,جنزور الشرقية,8016,45610,413,46023,608,145,1744,1889,8624,45755,2157,47912,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-003,الجفارة,Jafara,الحشان,1238,6721,59,6780,270,23,673,696,1508,6744,732,7476,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-004,الجفارة,Jafara,صياد,2993,16574,158,16732,365,75,1046,1121,3358,16649,1204,17853,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-005,الجفارة,Jafara,سيدي عبد اللطيف,1715,8874,109,8983,474,58,1859,1917,2189,8932,1968,10900,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-006,الجفارة,Jafara,جنزور الوسط,5613,28093,179,28272,316,174,1105,1279,5929,28267,1284,29551,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-007,الجفارة,Jafara,وادي الهيرة,344,1871,12,1883,58,0,120,120,402,1871,132,2003,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-008,الجفارة,Jafara,الشرقية \العزيزية,1540,8842,67,8909,209,33,566,599,1749,8875,633,9508,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-009,الجفارة,Jafara,الغربية \العزيزية,917,5412,30,5442,77,8,149,157,994,5420,179,5599,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-010,الجفارة,Jafara,بئر الجديد,1471,8320,20,8340,78,22,314,336,1549,8342,334,8676,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-011,الجفارة,Jafara,الساعدية,1338,7805,31,7836,144,10,286,296,1482,7815,317,8132,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-012,الجفارة,Jafara,العامرية,1873,10405,57,10462,133,12,388,400,2006,10417,445,10862,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-013,الجفارة,Jafara,السواني,3844,20692,152,20844,756,100,2135,2235,4600,20792,2287,23079,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-014,الجفارة,Jafara,النجيلة,2460,14018,83,14101,155,19,445,464,2615,14037,528,14565,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-015,الجفارة,Jafara,جامع التوغار,1444,8681,33,8714,70,12,215,227,1514,8693,248,8941,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-016,الجفارة,Jafara,الماية,1964,10634,85,10719,289,44,831,875,2253,10678,916,11594,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-017,الجفارة,Jafara,الطويبية,916,4957,39,4996,81,12,199,211,997,4969,238,5207,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-018,الجفارة,Jafara,الطينة,1091,6131,23,6154,62,10,196,206,1153,6141,219,6360,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-019,الجفارة,Jafara,المعمورة,1085,6006,54,6060,190,11,352,363,1275,6017,406,6423,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-020,الجفارة,Jafara,قرقوزة,2265,13588,73,13661,142,27,475,502,2407,13615,548,14163,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-021,الجفارة,Jafara,الزهراء,3442,19493,122,19615,477,63,1288,1351,3919,19556,1410,20966,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-022,الجفارة,Jafara,الناصرية,2611,15871,105,15976,382,47,864,911,2993,15918,969,16887,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-023,الجفارة,Jafara,المطار,2902,17123,107,17230,254,45,731,776,3156,17168,838,18006,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-024,الجفارة,Jafara,سوق السبت,2453,14625,101,14726,421,48,1326,1374,2874,14673,1427,16100,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-025,الجفارة,Jafara,العوانين,2204,12729,153,12882,621,107,1948,2055,2825,12836,2101,14937,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-026,الجفارة,Jafara,ردود الزاوية,2993,16755,134,16889,509,77,1330,1407,3502,16832,1464,18296,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-027,الجفارة,Jafara,خويلد,715,4091,37,4128,104,13,200,213,819,4104,237,4341,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-028,الجفارة,Jafara,بئر التوتة,2367,13531,54,13585,323,50,711,761,2690,13581,765,14346,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-029,الجفارة,Jafara,ابو عائشة,248,1621,2,1623,4,0,18,18,252,1621,20,1641,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-030,الجفارة,Jafara,بئر دياب,1326,8433,59,8492,364,39,561,600,1690,8472,620,9092,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-031,الجفارة,Jafara,بئر الطوبة,406,3221,20,3241,13,1,31,32,419,3222,51,3273,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-032,الجفارة,Jafara,سيدي السائح,615,3826,18,3844,49,10,184,194,664,3836,202,4038,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-033,الجفارة,Jafara,الغلالبة,548,3696,13,3709,53,3,98,101,601,3699,111,3810,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-034,الجفارة,Jafara,امسيحل,1109,7791,58,7849,177,32,531,563,1286,7823,589,8412,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-035,الجفارة,Jafara,ابو الريش,995,5695,13,5708,85,4,174,178,1080,5699,187,5886,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-036,الجفارة,Jafara,سيدي جابر,340,2375,1,2376,1,0,4,4,341,2375,5,2380,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-037,الجفارة,Jafara,اولاد ابو عائشة,223,1422,1,1423,36,1,87,88,259,1423,88,1511,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-038,الجفارة,Jafara,اولاد احمد,243,1547,10,1557,57,6,125,131,300,1553,135,1688,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-039,الجفارة,Jafara,بن عطية,1128,7408,30,7438,36,10,112,122,1164,7418,142,7560,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-040,الجفارة,Jafara,ابو عرقوب,1086,6876,55,6931,121,16,337,353,1207,6892,392,7284,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-041,الجفارة,Jafara,اولاد مرغم,460,2779,7,2786,35,6,55,61,495,2785,62,2847,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jafara-042,الجفارة,Jafara,سيدي الجيلاني,1043,6656,11,6667,20,16,54,70,1063,6672,65,6737,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الجفارة-لسنة-2006م.pdf,14e00e70b4aa3e858fec0628208a37c5133a6a1a38808ad2747207238336b79a
Jufra-001,الجفرة,Jufra,هون الشمالية,1547,8786,76,8862,254,81,745,826,1801,8867,821,9688,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفرة-لسنة-2006م.pdf,a5135f9f1191bdaf77bc36fc1b28ccdb324d77c4fd84965c1d74acdc9dbd6589
Jufra-002,الجفرة,Jufra,هون الجنوبية,1647,8945,64,9009,385,91,1155,1246,2032,9036,1219,10255,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفرة-لسنة-2006م.pdf,a5135f9f1191bdaf77bc36fc1b28ccdb324d77c4fd84965c1d74acdc9dbd6589
Jufra-003,الجفرة,Jufra,ودان الشمالية,718,3991,46,4037,226,35,616,651,944,4026,662,4688,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفرة-لسنة-2006م.pdf,a5135f9f1191bdaf77bc36fc1b28ccdb324d77c4fd84965c1d74acdc9dbd6589
Jufra-004,الجفرة,Jufra,ودان الجنوبية,1135,7125,57,7182,372,74,1030,1104,1507,7199,1087,8286,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفرة-لسنة-2006م.pdf,a5135f9f1191bdaf77bc36fc1b28ccdb324d77c4fd84965c1d74acdc9dbd6589
Jufra-005,الجفرة,Jufra,سوكنة المركز,1525,9020,90,9110,188,43,706,749,1713,9063,796,9859,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفرة-لسنة-2006م.pdf,a5135f9f1191bdaf77bc36fc1b28ccdb324d77c4fd84965c1d74acdc9dbd6589
Jufra-006,الجفرة,Jufra,الفقهاء,181,1065,20,1085,13,7,36,43,194,1072,56,1128,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفرة-لسنة-2006م.pdf,a5135f9f1191bdaf77bc36fc1b28ccdb324d77c4fd84965c1d74acdc9dbd6589
Jufra-007,الجفرة,Jufra,زلة المركز,1295,7599,64,7663,188,37,488,525,1483,7636,552,8188,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الجفرة-لسنة-2006م.pdf,a5135f9f1191bdaf77bc36fc1b28ccdb324d77c4fd84965c1d74acdc9dbd6589
Zawiya-001,الزاوية,Zawiya,جود دائم,2165,11730,70,11800,217,28,456,484,2382,11758,526,12284,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-002,الزاوية,Zawiya,سيدي عيسى,5392,30017,217,30234,475,130,1532,1662,5867,30147,1749,31896,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-003,الزاوية,Zawiya,ضى الهلال,1880,9741,68,9809,87,32,290,322,1967,9773,358,10131,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-004,الزاوية,Zawiya,سيدي نصر,2070,10900,75,10975,76,45,241,286,2146,10945,316,11261,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-005,الزاوية,Zawiya,بن سباع,977,5456,31,5487,57,14,184,198,1034,5470,215,5685,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-006,الزاوية,Zawiya,بحر السماح,1434,7523,51,7574,174,44,664,708,1608,7567,715,8282,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-007,الزاوية,Zawiya,الحي القديم,609,3111,30,3141,91,16,326,342,700,3127,356,3483,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-008,الزاوية,Zawiya,الولاني,1553,8624,57,8681,203,42,680,722,1756,8666,737,9403,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-009,الزاوية,Zawiya,المقطع,1176,6352,91,6443,447,40,1491,1531,1623,6392,1582,7974,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-010,الزاوية,Zawiya,جامع الحاجة,1326,7397,91,7488,252,66,881,947,1578,7463,972,8435,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-011,الزاوية,Zawiya,جامع القمودي,1883,10065,161,10226,665,60,2125,2185,2548,10125,2286,12411,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-012,الزاوية,Zawiya,الفاسي,1201,7139,42,7181,77,11,197,208,1278,7150,239,7389,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-013,الزاوية,Zawiya,الحاج عبيد,1203,6777,29,6806,185,27,557,584,1388,6804,586,7390,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-014,الزاوية,Zawiya,بن شعيب,281,1582,14,1596,145,3,293,296,426,1585,307,1892,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-015,الزاوية,Zawiya,الزاوية الجنوبية,306,2041,3,2044,44,2,53,55,350,2043,56,2099,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-016,الزاوية,Zawiya,الزاوية الشرقية,843,5014,53,5067,176,45,517,562,1019,5059,570,5629,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-017,الزاوية,Zawiya,الصابرية \الشرقية,1670,9769,37,9806,99,5,263,268,1769,9774,300,10074,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-018,الزاوية,Zawiya,الصابرية \الغربية,1091,5766,18,5784,45,13,178,191,1136,5779,196,5975,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-019,الزاوية,Zawiya,الحرشة,1512,8147,59,8206,54,17,201,218,1566,8164,260,8424,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-020,الزاوية,Zawiya,الطيانية,1602,9267,30,9297,72,12,177,189,1674,9279,207,9486,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-021,الزاوية,Zawiya,الرابطة,1628,9235,55,9290,107,40,328,368,1735,9275,383,9658,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-022,الزاوية,Zawiya,المطردالشرقية,1119,5726,57,5783,297,23,985,1008,1416,5749,1042,6791,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-023,الزاوية,Zawiya,المطرد الغربية,871,4490,26,4516,140,14,397,411,1011,4504,423,4927,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-024,الزاوية,Zawiya,بئر الغنم المركز,519,3091,24,3115,77,15,284,299,596,3106,308,3414,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-025,الزاوية,Zawiya,بئر الغنم الشرقية,481,2638,32,2670,75,3,276,279,556,2641,308,2949,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-026,الزاوية,Zawiya,عطاف,1078,5365,33,5398,50,21,215,236,1128,5386,248,5634,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-027,الزاوية,Zawiya,ابو الهلال,2196,12237,133,12370,387,60,1375,1435,2583,12297,1508,13805,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-028,الزاوية,Zawiya,الشاطئ,1393,7213,33,7246,104,26,245,271,1497,7239,278,7517,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-029,الزاوية,Zawiya,ابو الريش,1815,9739,46,9785,87,27,308,335,1902,9766,354,10120,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-030,الزاوية,Zawiya,زكري,908,4813,38,4851,112,24,425,449,1020,4837,463,5300,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-031,الزاوية,Zawiya,مخلوف,2040,11178,55,11233,234,37,567,604,2274,11215,622,11837,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-032,الزاوية,Zawiya,العين,1470,8161,41,8202,83,30,502,532,1553,8191,543,8734,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-033,الزاوية,Zawiya,السوق \ ابو عيسى,355,1912,12,1924,31,10,87,97,386,1922,99,2021,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-034,الزاوية,Zawiya,الراقوبة,458,2300,13,2313,50,11,130,141,508,2311,143,2454,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-035,الزاوية,Zawiya,الخضراء,1911,10510,41,10551,104,23,307,330,2015,10533,348,10881,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Zawiya-036,الزاوية,Zawiya,العموري,908,4692,34,4726,70,17,249,266,978,4709,283,4992,0,0,11,نتائج-تعداد-العام-لسكان-مدينة-الزاوية-لسنة-2006م.pdf,cc305224169513611599f556b7a0f00b0ce67c78c569230e07e9f34897c6543f
Wadi al Shatii-001,وادي الشاطئ,Wadi al Shatii,قيرة,812,5554,20,5574,33,10,128,138,845,5564,148,5712,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الشاطئ-لسنة-2006م.pdf,8cfd9aaad05e4f79b16ef0791f3535dd11bec8b0f9bf0d256568044fcecc4085
Wadi al Shatii-002,وادي الشاطئ,Wadi al Shatii,اشكدة,369,2313,11,2324,28,4,94,98,397,2317,105,2422,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الشاطئ-لسنة-2006م.pdf,8cfd9aaad05e4f79b16ef0791f3535dd11bec8b0f9bf0d256568044fcecc4085
Wadi al Shatii-003,وادي الشاطئ,Wadi al Shatii,زلواز,500,3000,7,3007,23,3,98,101,523,3003,105,3108,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الشاطئ-لسنة-2006م.pdf,8cfd9aaad05e4f79b16ef0791f3535dd11bec8b0f9bf0d256568044fcecc4085
Wadi al Shatii-004,وادي الشاطئ,Wadi al Shatii,الزوية,461,3138,17,3155,60,7,172,179,521,3145,189,3334,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الشاطئ-لسنة-2006م.pdf,8cfd9aaad05e4f79b16ef0791f3535dd11bec8b0f9bf0d256568044fcecc4085
Wadi al Shatii-005,وادي الشاطئ,Wadi al Shatii,القصر,617,3943,20,3963,72,35,254,289,689,3978,274,4252,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الشاطئ-لسنة-2006م.pdf,8cfd9aaad05e4f79b16ef0791f3535dd11bec8b0f9bf0d256568044fcecc4085
Wadi al Shatii-006,وادي الشاطئ,Wadi al Shatii,الزاوية,677,3910,72,3982,204,62,620,682,881,3972,692,4664,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الشاطئ-لسنة-2006م.pdf,8cfd9aaad05e4f79b16ef0791f3535dd11bec8b0f9bf0d256568044fcecc4085
Wadi al Shatii-007,وادي الشاطئ,Wadi al Shatii,المصلي,244,1476,35,1511,135,5,434,439,379,1481,469,1950,0,0,10,نتائج-تعداد-العام-لسكان-مدينة-الشاطئ-لسنة-2006م.pdf,8cfd9aaad05e4f79b16ef0791f3535dd11bec8b0f9bf0d256568044fcecc4085
