centre_code,centre_name,mahalla_ar,city_ar,baladiya_ar,read_by,source_document,source_sha256
14141,ثانوية ج دمشق,ج دمشق,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14142,الهضبة الثانوية,خالد بن الوليد,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14143,السالم,بللوزة,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14144,اإلنتفاضة,باب السالم,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14145,ليبيا الحرة,شهداء الدامور,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14146,غزة,القرية الضمانية,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14147,ع ي جالوت,خالد بن الوليد,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14148,عل النجار,ج المجاهدين,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14149,رصخة الشباب,باب بن غش ت,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14150,ميمونة بنت الحارث,باب بن غش ت,طرابلس,أبوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14151,براعم المستقبل,باب بن غش ت,طرابلس,ابوسليم,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14152,الشعلة,الظهرة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14153,الكوت,الظهرة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14154,الظهرة اإلبتدائية,الظهرة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14155,أحمد قنابة,المدينة القديمة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14156,الخنساء,المدينة القديمة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14157,الحرية,المدينة القديمة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14158,ابومنجل,بلخ ت,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14159,سكينة بن الحس ي,بلخ ت,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14160,طرابلس المركزية للتعليم األسا خ,بلخ ت,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14161,النرص الثانوية,الرصيم,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14162,عل سيالة,زاوية الدهمان,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14163,ام الثوار,زاوية الدهمان,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14164,20أغسطس,زاوية الدهمان,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14165,شهداء الشط,زاوية الدهمان,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14166,دمحم محمود بن عثمان,النوفلي ي,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14167,الصديق,النوفلي ي,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14168,اإلنتفاضة,فشلوم,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14169,ابن النفيس,فشلوم,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14170,إبن الهيثم,النوفلي ي,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14171,الخوارزم,فشلوم,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14172,وسعاية ابديري,وسعاية بديري,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14173,التقدم,المنشية,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14174,عبد الرحمن الكواك ن,المنشية,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14175,طالئع التقدم,المنشية,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14176,شهيدة الواجب,المنشية,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14177,صالح الدين,المنشية,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14178,طرابلس الثانوية بن ي,الرصيم,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14179,المنار,المنصورة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14180,رصخة الحرية,المنصورة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14181,المنصورة,المنصورة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14182,شارع الرصيم,شارع الرصيم,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14183,عل عبدهللا وريث,ميدان الشهداء,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14184,طرابلس الثانوية للبنات,ع ي الدوارة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14185,يوليو 23,ع ي الدوارة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14186,الهدي اإلسالم,ابومليانة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14187,شهداء أبو مليانة,ابومليانة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14189,الشاج,الرصيم,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14190,جمال عبد النارص,ع ي الدوارة,طرابلس,طرابلس المركز,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14192,الوحدة العربية,السياحية,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14193,الغد المشق,ج االندلس,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14194,النساء الخالدات,ج االندلس,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14195,ج األثار,قرقارش,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14196,قرطبة,ج االندلس,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14197,األندلس الثانوية,ج االندلس,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14198,غرناطة,ج االندلس,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14199,فجر السالم,ج االندلس,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14200,قرقارش الثانوية,قرقارش,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14201,موخ بن نص ت,الشارع الغر ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14202,شهداء بدر,الشارع الغر ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14203,االتحاد,الشارع الغر ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14204,شموع العلم,الشارع الغر ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14205,عبد الرحمن الداخل,الشارع الغر ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14206,فتح الفتوح,الشارع الغر ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14207,الدوحة,ج االندلس,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14208,أم أيمن,الشارع الغر ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14209,تاقرفت,الدري ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14210,سواعد الوحدة,الثغار,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14211,فتاة العرص,الشاج,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14212,الب تو ن,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14213,راية الحرية,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14214,سىه بشارة,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14215,القادسية,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14216,المنهل,الشاج,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14217,الغدير,السالم,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14218,جيل المستقبل,الح االسالم,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14219,الشهيد رمضان السويحل,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14220,النضال,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14221,صقور ف تاير,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14222,عمر المختار,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14223,الكرامة,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14224,الكفاح,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14225,إبن ماجد,غوط الشعال,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14226,بيت المقدس الثانوية,الح الصناع,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14227,بدرالك تى,ال ح الصنا ع,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14228,ابو بكر الصديق,الدري ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14230,الشموخ,الدري ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14231,شهداء طرابلس,الدري ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14232,حسان بن ثابت,الح الصناع,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14233,العهد الجديد,الح الصناع,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14234,شهداء الواجب,الدري ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14235,االستقالل,الح الصناع,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14236,ذات النطاق ي,ال ح الصنا ع,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14237,سالم عبدالن ن,الدري ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14238,النور,الح الصناع,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14239,القدس,الح الصناع,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14240,عمر بن عبدالعزيز,الدري ن,طرابلس,ج االندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14241,جتور الثانوية,جتور المركز,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14242,شهداء بالروين,جتور المركز,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14243,ال تموك,جتور المركز,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14244,ذات الصواري,جتور الشقية,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14245,أوالد سويد,جتور الشقية,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14246,زيد بن حارثة,جتور الشقية,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14247,الفالوجة,جتور الشاج,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14248,بيت الحكمة,شهداء عبدالجليل,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14249,التحرير,شهداء عبدالجليل,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14250,االنعتاق,شهداء عبدالجليل,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14251,ثانوية المجد,شهداء عبدالجليل,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14252,الغ تان الجنوبية,جتور الشقية,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14253,17ف تاير,جتور الشقية,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14254,ثانوية الحشان,جتور الحشان,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14256,صياد الثانوية,جتور صياد,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14257,األصيل,جتور صياد,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14258,نجالء الخالدية,جتور صياد,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14259,السهل األخرص,جتور صياد,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14260,فجر عروس البحر,سيدي عبد اللطيف,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14261,سيدي عبداللطيف,سيدي عبد اللطيف,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14262,أبطال الحجارة,سيدي عبد اللطيف,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14263,شهداء جتور,جتور الوسط,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14264,الوطن العر ن,جتور الوسط,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14265,عمار بن ياش,جتور الوسط,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14266,شمس الحرية,جتور الوسط,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14267,الثورة,جتور الوسط,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14268,شهداء الجمعة الثانوية,جتور الوسط,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14269,نجيلة الثانوية,النجيلة,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14270,أحفاد المختار,النجيلة,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14271,احرار ليبيا,النجيلة,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14272,أفريقيا,الشاج,طرابلس,جتور,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14275,شهداء الفرناج,الفرناج,طرابلس,ع ي زارة,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14276,طليطلة,السياحية,طرابلس,ج األندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14277,غوط الديس,الح اإلسالم,طرابلس,ج األندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14278,اشبيلية,غوط الشعال,طرابلس,ج األندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
14279,السد العال,غوط الشعال,طرابلس,ج األندلس,text,تحديث مراكز الاقتراع لسنة 2021 طرابلس,516e23a7fed71477e995cc1a097c2fee6f92422023fa19c6fe4db89b21fb5316
