edge_id,edge_schema,source_id,source_name,target_id,target_name,relationship,start_date,end_date,datasets
ofac-7de8fb9d50412e40585921a24ab2a3b1c003f89e,Representation,Q124304718,Reza Seraj,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-7fb5fb2996b8b63657febcf9a33f15f9e872ad1c,Representation,Q121744849,Ahmad Kadem,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-82abebf4415a085c005c54a1f97f48d289eec027,Representation,Q120793249,Hossein Maroufi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-872a5ab67c523acbd6058315ffcffddc9ce0d03c,Representation,Q121820735,Mohammad Nazar Azimi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-87ca42c326f080b9328b21674416032f9a429fbd,Representation,Q116215247,Bahman Reyhani,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-8bc6e7d51bfbb7234a0ce79503d8055aedbe35db,UnknownLink,NK-446LyQXDAU8WtWgWVfjB8r,Ansar Exchange,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-8cf369b90bb62d62de3f7b8a1fef098d98a1120a,UnknownLink,NK-dgv4kscydHAhW4fcqWt9PX,Boyu Liu,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-8d60ea57c7be2d3ea97661024518fe00c924a919,Representation,NK-6ck5qrDN99NgizrM6v46He,Mustafa Bazvand,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-8e01bc9aa1b0f44c43417efc6d8ed61d0dab1a5c,Representation,NK-FGjWdXXVxtYvgUCissgXQ9,Hassan Shahvarpour,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-8f46826d2d622c89cfd2845c36b9684f04289ff6,UnknownLink,NK-QLsXqx9vVVi7Si4tM8rWqg,Mohammad Asgari,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-8fcc810e067aa3b5f66c47a3f9b0376eb437f1c1,Representation,NK-EVgfwq7wRSataR8jvaMgxC,Yadollah Badin,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-90ab4061e183ee0da69709323c8ba5596f04b8f0,Representation,Q4342368,Mohammad Pakpour,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-913307f2bb431a974bdc22426d5296433a113c84,UnknownLink,NK-2eixRqePmhfxn4rpXFL5J4,Qingdao Premier Technology Co Ltd,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-94995814ecab5fb5176e75902e102cbb5b05b16f,Representation,NK-VNERCZAZrpg5RvphApUB5B,Parviz ABSALAN,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-94e4ae35fce2f4b20c3f1196d269163ebef1072e,UnknownLink,NK-Zve9ffXz5psFkogs6uTaFA,OCEAN ALLIANZ SHIPPING LLC,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-9509f96447ba42dc0d4ec090a659eaaa76b2f203,Representation,NK-YmhPApkeRGfmAuZ7Phxouz,Ghorban Mohammad VALIZADEH,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-993ea3f7ec84e514b4ac43cc02722e9d1d5055de,Representation,Q131197225,Hasan Hassanzadeh,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-9c79d49b301238b9da76e55e34dd158de5c04f44,UnknownLink,NK-ENRNZNb4YwWSC8PU2Qibqy,Fateh Aseman Sharif Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-9cc6fd7939d33f7bb8f641c66bfdb3d4a6b9aeff,Representation,Q122258498,Yadollah Buali,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-a1cb2d47bdc113f819efec95a38b2671169e755c,Representation,NK-47US9RAkrjCr9J4y9dcPJm,Nematollah BAGHERI,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-a26de3e746244e17fddf5529aed1123c3b56fe8f,Representation,Q119059381,Ali Akbar POUR-JAMSHIDIAN,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-a767372e397bf22c23a6f37414d6262a28a718a2,Representation,NK-TYghj2c5NHsoPs4vRVQ4bV,Ali Ansari,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-a8218266fbd7bff5e7f9b713c0a89b509b44f382,UnknownLink,NK-RUk78FAfvme3QEDUmrwnUV,BLANCA GOODS WHOLESALER LLC,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-a9c2a127c8acc0d721703c1748a168c50c5bc499,UnknownLink,NK-8TDFS7XnbcGfworfijpQ8D,SAMAN TEJARAT BARMAN TRADINGCOMPANY,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-aa6f08e51b046d9773d0c0c43fb170cf8769159c,Representation,Q125560047,Abbas Gholamshahi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-ad8bba22e911d51f5dc477fef98304d533e17104,UnknownLink,NK-gPJ9hD6w3ikrvctxipJhXf,ZEUS LOGISTICS GROUP,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-b3ca2c0403e795b95bcd990d1de9056f149e10ec,UnknownLink,NK-ifqum332GLA2XtCU7LRGv7,Yousef Aboutalebi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-bb491cb2d8982791ad7d3379f3675712d203b8eb,Representation,NK-mzMurrz8wJQahwjahCWoB6,Ahmad Shafahi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-be05571b48f64244438370f91ef7a161648edd24,Representation,Q119060394,Rouhollah Bazghandi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-bfd7fed7ca75969d5a489b2603cc7850a3df3723,UnknownLink,NK-ZZkiTTse3chDkJrDXmLBWQ,Hasan Qahtan Al-Sa'idi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-c1ba527060086ca5b1c504a102afad9c6c9f2f9a,UnknownLink,NK-ZjAFhL7UAWTHJy57rwjYvx,Behrouz Namazi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-c9b0aa1b8f6f3be63d45bbf2f5a5c096d1a81f20,Representation,NK-BAbq5Zmm3z8ehJ9Siy6bTd,Javad Bordbar Shir Amin,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-ccfe57fe41da7297f2f83a417005c2080797d063,UnknownLink,NK-VhbRTuH7dVnatXe7y4wSf6,Muhammad Qahtan al-Sa'idi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-cd78540225dc2af7c22ce675bf68de624628ec18,Directorship,NK-7tsdHQGLZFFjhnvnF6qY5b,Samad Fathi Salami,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Leader or official of,,,us_ofac_sdn
ofac-d17cd16825e4f47ef944e12fe8a5b71239b9f0df,Representation,Q127414351,Hamid DAMGHANI,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-d28e82752248879ced880e1f05312782ac357113,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-jE5CT2uhW8uureiPCVy843,Ansar Bank,Owned or Controlled By,,,us_ofac_sdn
ofac-d2db946d7f4e2ef2d0bfd4e9d5f69ecc3b5466fe,Ownership,NK-Le5JHd24EkxFTP8kQ32u29,Mahmoud Abdulilah Al-Dj,NK-4ZURfkkRkubWm2FfdVqq3F,Al-Ta'ir Company,Owned or Controlled By,,,us_ofac_sdn
ofac-d3ca0b378058310e7a46d6ab3c50f5565bfd9eb9,Representation,NK-o5eahBiaSk6EjzRPEsPZs5,Javad Ghaffarhaddadi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-d6eef6fb6472180f5bdcf83487d870404e25fd19,UnknownLink,NK-DNab6tvzBySiSWVXTDRrTT,Lichun Xu,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-d7f7d62b5142019baf7fbb0615764605cddb1230,Representation,NK-NTPMapNDMjXU8aHXCUgNGy,Khodarahm Sarani,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-da0aee7994801713e73f07eb51eaee27f73315cd,UnknownLink,NK-mhQiuCZKVuCaGFSoNF5Lh4,Oje Parvaz Mado Nafar Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-dabe5f12f57412bd9f2fcd65c9ced1a93762cdf5,Representation,NK-kmyqJUK4SheACowgKdJ95U,Jamal Husayn ZAYNIYAH,NK-3H4SATNbUHJBsFEZHjB8eT,Hurras al-Din,Acting for or on behalf of,,,us_ofac_sdn
ofac-dbc789ea3165ec1eb399e078b622b3868ddbc19c,Representation,NK-btUYbDZ6oRQ5SdJM2ZKPVR,Hassan Asgari,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-dbe685be149d5f72cc6f00f06547d65eb3d3504f,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-YvhBuayvMgWVWL4yN9prCr,Cognitive Design Production Center,Owned or Controlled By,,,us_ofac_sdn
ofac-e29ac989de9159fc018a55cfdf1d4bd30b140a9f,Representation,Q126995966,Sardar Seyed Sadegh Hosseini,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-e7e5d91b89a530d5912d2309f7b827a6b47212ca,Representation,Q123760878,Abbas Nilforushan,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-e895a554f46f6558d16a7ae462b1b3f18ae4d657,Representation,NK-mEi8xTvSxgBq8XrhP6LiYD,Ali Ahmidah al-Safrani,NK-nFg77q6vHJLmSUp8mm3pPS,ISLAMIC STATE OF IRAQ AND THE LEVANT (ISIS),Acting for or on behalf of,,,us_ofac_sdn
ofac-eaba06ab5efa7be3add2517eadecf79930c49fe2,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-a4LXHRWm5pDj2gJp7MnzL4,Tasnim News Agency,Owned or Controlled By,,,us_ofac_sdn
ofac-f00a8917ca06aa6f9fb4ecfa9e433197cf448c2d,Ownership,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),NK-W4xcJCwtH4hmWaezbVkZiv,Azadegan Transportation Company,Owned or Controlled By,,,us_ofac_sdn
ofac-f2017053d240f5e02089474c69c9fdb40efc1b99,Representation,Q128423833,Mazaher Majidi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-f26384c45e8c5a8baca0fd64f377687c25017720,UnknownLink,NK-Vi66NTp7uG6HQ2VzftJdU8,Rayan Roshd Afzar Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-f3b7426e231d6b624b11710c5f3d7dcb561439cb,UnknownLink,NK-MnFkb9k4MJ477XDeS5Fqg4,Haytham Sabih Sa'id,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-f4ea4b5f79c160f36333d2090e3f2334eb709a05,Representation,NK-dYEfCaPkqhV58dGm96WM29,Saeed Beheshti rad,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-f56c50f20b78f59be8401798fb018bfa7915db97,Representation,NK-iqGt93kQpGhRxEVy4KjriT,Kourosh ASIABANI,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-f75715bdbe6823e8e684ac6cc30095dcf1386ea3,UnknownLink,NK-mcEA6S3Pp8oqJvDp7SDksJ,Mariya Vladimirovna Selina,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Providing support to,,,us_ofac_sdn
ofac-f8fecae77ded3892c9cb1573f57445d4e993ddc2,Representation,NK-28DYyZtuHyHDr3Gk7spEQM,Fars News Agency,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-fb985ebf7651da053ca7103cdc7bb2946264a50e,Representation,Q25423789,Yadollah Javani,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Acting for or on behalf of,,,us_ofac_sdn
ofac-fe86ed2c96d742674af2c3d3b784769f1f7773e7,UnknownLink,Q12240503,Mohammad Reza Raouf Sheibani,NK-npdZSrDYbpdVnmUndsGzzA,Hizballah,Providing support to,,,us_ofac_sdn
sa-pcct-01cfbe85ad1625dd7e6f6f6aa9ba4318053412cf,UnknownLink,sa-pcct-711eb654da884a5bdabcbd584cfbf9b6bfaccc35,BANK OF MILLET,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-1f564191a73d63335da1e070f71c039f5cd1a6d4,UnknownLink,NK-nZpuCDynSU2JCBn6A9FE4J,QASSIM ABDULLAH ALI,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-1ffa8fbfeb9502e6d3335cc21816ab19ba3ca6bb,UnknownLink,NK-c55S959ZVS6JnyQZCzjPPN,Bonyad Taavon Basij,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-25b72966c7f78955f47d852c4fc7992cd02c91ce,UnknownLink,NK-MmRr4bivDQbLzq3uzci7oP,Abdo Abdullah Dael Ahmed,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-26083be7a4ef364a285cd4f236ba394a20ba799f,UnknownLink,NK-AfP34MpmmNrnqdyqTeMHrL,Shibl Muhsin 'Ubayd Al-Zaydi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-262871144ee21b440886a3c7e229076138d54905,UnknownLink,NK-RFRRB2ey3qFEnnmB2XCceA,IQTISAD MEHR FINANCIAL GROUP,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-28603af4b299237afb65904466dcc408b7af60ab,UnknownLink,NK-Ufn4fdY4HcVzqzbc3a4vB7,Muhammad Qasim Al-Bazzal,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-2ce117319e432e51862d29c882ed3d521fb82ef7,UnknownLink,NK-NebXD3fjLkbFyZaTuQLAmL,Saraya al-Mukhtar,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-311e412efa0980813a446a621726eab43f3e8212,UnknownLink,NK-Xz9VbxXJDbFXEihkmbvkdu,MANOJ SABHARWAL OM PRAKASH,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-38807aa4eb0cd0ceb8d9a4e453c2d6ec40d1abb9,UnknownLink,NK-F4woLMysr2xtzxN6aKDPV5,TADIRGARAN ATIYEH IRANIAN INVESTMENT COMPANY,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-39083c1d193551cf7b7139a172ec5a8603499721,UnknownLink,NK-iymWPuUPtRPqZdtMnEYVBk,Bahman Group,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-3f141430e42cf0f89a96530c90b1359ea291df6e,UnknownLink,Q125560047,Abbas Gholamshahi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-4311812413faa469ebe8b34965ea115ba9a2f9be,UnknownLink,NK-gpsZisXS7dwpfsGXJPsbw2,Al-Ashtar,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-4495a193f0fc6f6c1b720dfb551e26ad1d336758,UnknownLink,NK-gKrAm5TtGc6x8yqzRvzkd5,Muhammad Qasir,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-45234372a297914605440af3fc0b3b4c0424ecee,UnknownLink,NK-TinkkQtAdcc5orgs3zc7qN,Mohammadreza Ali Akbari,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-45bb5f3f398e84d8d56d8582f81ca1b9b8f85d2b,UnknownLink,Q81696347,Abdul Reza Shahlai,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-47df9497b20f5a5acc7d571a0ec2f610fc7b8b4b,UnknownLink,NK-4YKsbTe29VbRCQu6NqziRL,Iran Tractor Manufacturing Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-498b570263744b9a07786620c287586a96424415,UnknownLink,NK-H4LD8U38qJrfKnHyaCDz7w,CALCIMINE,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-4b1f51c2069abaf83abf27d7d82679211d548e9c,UnknownLink,NK-oLn8V8t63b7aoyVtGw9jyv,Alireza Atabaki,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-4e2c6405487fb805be6f75779aa386033be28c37,UnknownLink,NK-446LyQXDAU8WtWgWVfjB8r,Ansar Exchange,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-4f521cb83d9336b19690468ae2332fa5318e0674,UnknownLink,NK-am4M4hQG6F4MBYVQBQwXRH,SWAID AND SONS FOR EXCHANGE CO,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-503f55fccc34d6b4e0e151a601949361ee96eb0f,UnknownLink,NK-MLfdhQKBKsjEynrGXkq5mp,Destiny,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-50e38ffbb231504372357df67e5f728724b7147d,UnknownLink,NK-7sL7HP9VHGYc6xwpvKQnvF,"JABER, SALEM JABER OMAR ALI SULTAN FATHALLAH",NK-3podLWzo9udm7yDeN2Qu8g,THE MUSLIM BROTHERHOOD,Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-511dec4a599057cb9c443dacbf6cf353c3fb69d3,UnknownLink,NK-3bomqyXWFAntu5nbrRVKTH,Fani Oil Trading FZE,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-533d3eaca875f06b2724d4e720c385b22789ac17,UnknownLink,Q108919185,Hussam Al-Qatirji,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-535c7a587569898e227c689b2231c27632cbdac0,UnknownLink,NK-bqHtiingHrG89XMLkzXvBf,Iran Zinc Mines Development Company,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-5719271f258882ddb95e4dce114d66468fecff25,UnknownLink,NK-daTqt72Roi4TNEyQJaYqAj,NEGIN SAHIL ROYAL INVESTMENT COMPANY,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-5a2ec286bd3912722e4f25de559feff9ae29000f,UnknownLink,Q307229,ABD AL-HAKIM BELHAJ,NK-ncB6saL459UrpWpopB8bsR,AL QA'IDA,Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-5b0249fd141c0cb77c88342a54d68afbcb7e9d93,UnknownLink,NK-66mRzDZBMMufdvKCXYD3Fw,Jami' 'Ali Muhammad,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-5b0b10dbd06f2459fda01e9793b62528551947d4,UnknownLink,NK-26aLUdNdrvaLZphX6xQrr5,MANABEA THARWAT AL-JANOOB GENERAL TRADING COMPANY LLC,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-5b7c1f156cf0ed2cb3d8fc44a313c60a5ccd49d4,UnknownLink,NK-GNVD9dTpoQ4F3m5RhCDAzn,Taif Mining Services LLC,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-6015b13e7ff42b099150aaaf6e76b1264732a501,UnknownLink,NK-knHaQ9xFi4WthPB4vD98Eg,DELICE,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-652b04d92a1629aef09167b68210994697ed1806,UnknownLink,NK-3ydrtJ4Mutkok8jnjnca4Y,JJO General Trading Gida Sanayi Ve Ticaret Anonim Sirketi,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-665bd805a749dc32c18d8f2effdc2b5f7a7573b0,UnknownLink,NK-cDNcN876vrMzC7SZcMk49G,ANDISHEH MAHVARAN INVESTMENT COMPANY,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-667fb8acbadba7e137d8ffb8305f25b7a8c4de93,UnknownLink,NK-hnvfY8qU9frVhv7dSkeyNA,Kish P and I Club,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-6dc60d9c28409e3ac1629dada2c649cc176788fe,UnknownLink,NK-feYNmGKcERMWxVkoEenzvr,ALFOULK TRADING CO .L.L.C,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-6fbe062d46f805447099e191c65ef82761d17ca0,UnknownLink,NK-eh2Tfuq7iNMqDnCZYQbzsN,Adoon General Trading FZE,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-708cb921af00489d87cb3bf95d831bf82006581c,UnknownLink,NK-9Jw3VJsfPatkvDQbrQWC7n,Parsian Bank,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
sa-pcct-71ec12cbc892dd884236341b07a00c5bad302f29,UnknownLink,Q127464864,Muhammad Bara Qatarji,NK-ipVrFZf7o3drYzB3jPB6tu,Islamic Revolutionary Guard Corps (IRGC),Linked terrorist organization,,,sa_pcct_terrorism_list
