occupancy_id,person_id,person_name,position_id,position_name,position_topics,is_foreign_posting,subnational_area,start_date,end_date,status,datasets
wd-af85a46eab9181a95ccef558a634f2d11bde0ce5,Q7328082,Richard Norland,Q1837651,United States Ambassador to Libya,role.diplo,1,,2019-08-08,2022-09-08,ended,wd_peps;wd_categories
wd-b108fb4a6b27cc55d8e75b486a1226d572313752,Q1174055,David J. Cooney,Q92082518,ambassador of Ireland to Libya,role.diplo,1,,,,,wd_peps
wd-b35df8267c5fd875a56885c5eb4c09d7a498665f,Q50365159,Béatrice Le Fraper du Hellen,Q26265501,ambassador of France to Libya,role.diplo,1,,2018-07-16,,,wd_peps
wd-b81e2a411bf9c8cd55d30f8cc95255bf8cd4a4ae,Q114884663,Wafaa Abu Bakr Muhammad Al-Kilani,Q114884405,Minister of Social Affairs,gov.executive;gov.national,0,,2021-03-15,,,wd_peps
wd-ba375d248132331020c11c33624aa34b6142818e,Q56872410,Anthony Layden,Q56761158,ambassador of the United Kingdom to Libya,role.diplo,1,,2002,2006,ended,wd_peps
wd-baacaa8f410999853b94d04b33a4ed44851e55b3,Q17198405,Richard Northern,Q56761158,ambassador of the United Kingdom to Libya,role.diplo,1,,2010,2011,ended,wd_peps
wd-be4ea0583145cc36cad026d3ed64bd590835f105,Q114884654,Muhammad Ahmad Muhammad Aoun,Q114884403,Minister of Oil & Gas,gov.executive;gov.national,0,,2021-03-15,,,wd_peps
wd-be73aeb75090455c845988656fe9a1d2125493e1,Q124459287,Dede Achmad Rifai,Q124452238,ambassador of Indonesia to Libya,role.diplo;gov.national,1,,2022-10-25,,,wd_peps
wd-bfb473079f744f074af90af0a29fcedbbec68afc,Q105977287,Najla Mangoush,Q53862230,Foreign Minister of Libya,gov.executive,0,,2021-03-15,2023-08-28,ended,wd_peps;wd_categories
wd-cae6431e94dfa4ccf3f8fead2f9afdec6a9169e8,Q110227704,Michael Ohnmacht,Q58896101,ambassador of Germany to Libya,role.diplo,1,,2021-08,2024,ended,wd_peps
wd-ccac400ac34e623da9a2bba05d1a78111110f553,Q444367,Aldo Cavalli,Q110549692,Apostolic Nuncio to Libya,role.diplo,1,,2013-04-13,2015-03-21,ended,wd_peps
wd-ce5d262f38b0221e1655ddfa538243d20d526f09,Q21091785,Peter Millett,Q56761158,ambassador of the United Kingdom to Libya,role.diplo,1,,2015,2018,ended,wd_peps
wd-ced8351f57ef6499471783a18ae88f7e003b5073,Q114884652,Khaled Al-Mabrouk Abdullah,Q114774925,Minister of Finance,gov.executive;gov.national,0,,2021-03-15,,,wd_peps
wd-d2a041b822459730a3a0c1d0aa2bd710fbe3d2c8,Q140635951,András Szabó,Q110810053,ambassador of Hungary to Libya,role.diplo,1,,2002-12-30,2006,ended,wd_peps
wd-d2a2657e3e9e182ab26e6bc1c3b82050d9a9bbbe,Q15990080,John Jenkins,Q56761158,ambassador of the United Kingdom to Libya,role.diplo,1,,2011,2011,ended,wd_peps
wd-e321df74c10b354c6121be7f54a49e1d641a79ef,Q114884661,Tariq Abdel Salam Mustafa Abu Flika,Q114884397,Minister of Water Resources,gov.executive;gov.national,0,,2021-03-15,,,wd_peps
wd-e7e1bca0e3d6ef03c766cc01a16864509e41ee02,Q73380935,Thierry Vallat,Q26265501,ambassador of France to Libya,role.diplo,1,,2025,,,wd_peps
wd-e8c9e99fa568d3fa403506d5e911bac458e4bffc,Q114884644,Hamad Abdul-Razzaq Taher Al-Marimi,Q114884391,Minister of Agriculture,gov.executive;gov.national,0,,2021-03-15,,,wd_peps
wd-e9ed70c159073dc3cdd2a84d02d1fa5f9c349c01,Q337755,Moussa Koussa,Q38288651,ambassador of Libya,role.diplo,1,,,,,wd_peps;wd_categories
wd-eb7b7513e1fc242b24e33ac454cf8058669668fb,Q5983487,Luis Francisco García Cerezo,Q6348414,ambassador of Spain to Libya,role.diplo,1,,,,,wd_peps
wd-ec4e8fea0660bf1be1a69c587207f8a71f5f6772,Q105977287,Najla Mangoush,Q53862230,Foreign Minister of Libya,gov.executive,0,,2021-03-15,2023-08-27,ended,wd_peps;wd_categories
wd-ee712a887109d4daff674402cb62c39e3f2add80,Q67460839,Oliver Owcza,Q58896101,ambassador of Germany to Libya,role.diplo,1,,2018,2021,ended,wd_peps
wd-ef0cde7661eff47b6b8aba46a66b78c17f60e534,Q9376998,Wojciech Załuski,Q110549692,Apostolic Nuncio to Libya,role.diplo,1,,2026-04-25,,,wd_peps
wd-fa127ee3bf066900922ceeb5f992fd78243d5532,Q824402,Bernd Westphal,Q58896101,ambassador of Germany to Libya,role.diplo,1,,,,,wd_peps
wd-fe023bfe3e6b675060be071e6ca9cda92ddfcc15,Q114884660,Salama Ibrahim Al-Ghwail,Q114884409,Minister of State for Economic Affairs,gov.executive;gov.national,0,,2021-03-15,,,wd_peps
wd-ff7f5749b5e99fc36dfc9187a52960a76cd59f5f,Q26845634,Peter W. Bodde,Q1837651,United States Ambassador to Libya,role.diplo,1,,,,,wd_peps;wd_categories
