address_id,full,city,region,country,latitude,longitude,shabiya_ar,shabiya_en,shabiya_pcode,matched_level,matched_script,matched_on
NK-8FabBc9NY8CJYs8s9XZWUa,"Tehran, Unit 19, Fifth Floor, Yas Building, Number 116, Sheikh Fazlollah Highway, Teimuri Blvd, before Sharif University Metro Station, 1459994450, IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-99u9QfSvsDTUvqRoyeMw6q,"Tehran, No 57, Eftekhar St., Larestan St., Motahhari Ave., IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-9L2JaZnev3pzQ6US9v6WZc,推定される居住地：エジプト・アラブ共和国,,,,,,,,,,,
NK-A3mgGhGhYE8fvqkc6YDezr,"Tehran, Pasadaran Av., IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-AuedW7uTdVzxuqYaqFhEN8,"Tehran, Ashrafi Esfahani to the north – above Hakim Bridge – before Chirag Bagh Faiz – East Ayatollah, IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-C4LUdXRGTK9WL8fPUE3RWo,"Tehran, Pasdaran Street, Across from Golestan Haftom, Building 3110, Apartment 5, IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-CVwivbSfLLrp5aydqUFF9H,オマーン国（推定される状況・居住地：オマーン国）,,,,,,,,,,,
NK-DT5jCtcozQj3KC5VMpawej,"Tehran, Sepahbod Gharani Avenue 107, IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-Dc9CeHUMuvdAiLxBbGPvaD,"Building No. 539, North Pasdaran Avenue, Tehran",,,,,,,,,,,
NK-EcoFdobSFVrMMXzmpyZebJ,"(Known address: Tripoli, Tarig sure no. 51, likely moved to Sabratha in 2015.)",,,,,,النقاط الخمس,Nuqat al Khams,LY0215,romanisation,latin,sabratha
NK-EgtfptvkpwTbKTzNtAxNfX,"Tehran, Unit 17, Fifth Floor, Yas Building, Number 116, Sheikh Fazlollah Highway, Teimuri Blvd, before Sharif University Metro Station, Iran",Tehran,,ir,,,,,,,,
NK-Etuixg3q5HUPkZisDDACXk,Zawiyah,Zawiyah,Libya,,,,الزاوية,Zawiya,LY0213,romanisation,latin,zawiyah
NK-FY8ECtGKmYhgnr4rbSjXoP,Syrian Arab Republic (located in as at Mar. 2015),,,,,,,,,,,
NK-G9wfG6fdTVKAFtsByRJXJ5,"Mehran Military Base, IRAN (ISLAMIC REPUBLIC OF)",Mehran Military Base,Ilam Province,ir,,,,,,,,
NK-H2kfKKcR8BQyigc58f7fyN,"Mehran Military Base, Ilam Province, Iran",,,,,,,,,,,
NK-HFA5mwZqx9uT9JzfrqLHk8,"P.O. Box 16765-3476, Tehran, Iran",,,,,,,,,,,
NK-J4B3bWNo9j478uBjjE5dLB,"Isfahan, Shahih Shar Industrial Zone, IRAN (ISLAMIC REPUBLIC OF)",Isfahan,,ir,,,,,,,,
NK-LCACjHHrDxVf3HVzTVLf4A,Iraq (possible alternative location as at Mar. 2015),,,,,,,,,,,
NK-LDCFUdpH86HAQQWzErnYxU,"Hay Elandadlus – Jian St, P.O. Box 1101, Tripoli, Libya",,,,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-LvyNjiS3ErHpnudGA5yEtp,"Sultanate of Oman, OMAN",Sultanate of Oman,,om,,,,,,,,
NK-Ly2Jc3gGLaDXYAxP5BHej2,"Reportedly located in Waziristan, Federally Administered Tribal Areas, Pakistan.",,,,,,,,,,,
NK-M7V8dBa2yEWWPyR76wfzkp,"Ghorb-e Ghaem Building, Valiasr St., Azizi Blvd., Azadi Sq., Tehran, Iran",Tehran,,ir,,,,,,,,
NK-NLgwPUKRtycRfEzgJbixjT,"Tehran, 5/1, Niroo Alley, Padegan-e-Valiasr Street, Sepah Square, IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-QQU7oNrAMg2qggBGiBakpj,"No. 25, Valiasr Jonoobi, Azizi Street, Azadi Sq. NE, Tehran, Iran",Tehran,,ir,,,,,,,,
NK-R6xofNhKkNgxmHAEgCR97e,"Tehran, Niayes Highway, Seoul Street, Iran",Tehran,,ir,,,,,,,,
NK-R8ZhzYhBWDe5xmYkLwnX6b,"Arsal, Bekaa, LEBANON",Arsal,Bekaa,lb,,,,,,,,
NK-RhoHe3MtxiQ7Y4oseiKNgW,"PO Box 14155 5568, No 27 Ahahamat Ave, Vallie Asr Square, Tehran 15946, Iran",Tehran,,ir,,,,,,,,
NK-Rvebewv5Jc3HZZVhQDDSmd,P.O. Box 155671311,,,,,,,,,,,
NK-TX4N45YSZpP3NBtuxtEo9W,"Kish Island, Unit 2, First Floor, EX35, Number 2, Exhibition Industrial Town, 7941659854, Iran",Kish Island,Kish Island,ir,,,,,,,,
NK-TrNkmC7g4x8PBUcs5KDWEV,"P.O. Box 81465-935, Esfahan, Iran",Esfahan,,ir,,,,,,,,
NK-V59GzzBL8WD5HY5VGwgTQy,"18 Mediterranean Street, Ariana, TUNISIA",Ariana,,tn,,,,,,,,
NK-V7UmZHNHzzoup2SqUdeGH4,"P.O. Box 83145-311, Kilometer 28, Esfahan-Tehran Freeway, Shahin Shahr, Esfahan, Iran",Esfahan,,ir,,,,,,,,
NK-Vha7dWJcHE9i55km8mrqS4,"Tripoli, Libya",Tripoli,,,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-VhiKDk7VKhYeCkifZPntxd,"Tehran, P.O. Box 8140, No. 107 Sepahbod Gharany Ave., IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-WD3TBeLtLk4wmAPVC3HWgB,Lebanon (in custody),,,,,,,,,,,
NK-WtJEyoMmC9EKnEmKUHGnds,"4th floor, No. 65, Dr Ghandi St, Sohravardi Ave, Tehran, Iran",,,,,,,,,,,
NK-XKWDV59hkvxfuJ3N9edKUo,Libya (in custody),,,,,,,,,,,
NK-ZK3xoJEEiAoEdDEwufWJDU,"Shishesh Mina Street, Karaj Special Road, Tehran, Iran",Tehran,,ir,,,,,,,,
NK-arMy5EoWaKqffJRh7A6YLu,"Tehran, No 4 corner of Shad St., Mollasadra Ave., Vanak Sq., IRAN (ISLAMIC REPUBLIC OF)",Tehran,,ir,,,,,,,,
NK-asdTuNBq8DwGMEJeUdrRSi,"Khatam HQ, No. 221, Phase 4, North Falamak Zarafshan Intersection, Shahrak E Ghods, Tehran 14678, Iran",Tehran,,ir,,,,,,,,
